Component Category,Item Number,Component Name,Freq,Cost,Embo Calc,L1 LaborFrac,L1 CountryofOrigin,L2 Subcategory,L2 Emissions Intensity,L2 Emissions Intensity unit,L2 Quantity,L2 docs,L2pers IncomeFrac,L2pers CO2eTons,L2pers %better
Embodied Carbon,11.01,Substitute mass timber for steel,one_time_project,,L2mat,,,Material,0.2,kgCO2e/kg,3000,,,,
Embodied Carbon,11.02,Domestic window supplier (no ocean shipping),55,,L2biz,,,Biz Process,0,kg/ton.km,0,,,,
Embodied Carbon,11.03,GSW,one_time_project,,L2pers,,,Personal,,,,,0.125,20,36%
Parking Garage,1.01,"Concrete repairs, B1 level",12,"$50,000 ",L1,50%,China,,,,,,,,
Parking Garage,1.02,"Vehicle traffic coating B1 level, first time",one_time_project,"$138,000 ",L1,50%,China,,,,,,,,
Parking Garage,1.03,"Vehicle traffic coating, B1 level, recoat",12,"$92,000 ",L1,50%,China,,,,,,,,
Parking Garage,1.04,"Concrete repairs, B2 level",20,"$40,000 ",L1,50%,China,,,,,,,,
Parking Garage,1.05,"Vehicle traffic coating B2 level, first time",one_time_project,"$108,000 ",L1,50%,China,,,,,,,,
Parking Garage,1.06,"Vehicle traffic coating, B2 level, recoat",12,"$72,000 ",L1,50%,China,,,,,,,,
Parking Garage,1.07,Paint garage,20,"$80,000 ",L1,50%,China,,,,,,,,
Parking Garage,1.08,Garage door replacement,15,"$30,000 ",L1,50%,China,,,,,,,,
Parking Garage,1.09,Garage door repair allowance,5,"$5,000 ",L1,50%,China,,,,,,,,
Parking Garage,1.1,Loading dock doors replacement,15,"$15,000 ",L1,50%,China,,,,,,,,
Parking Garage,1.11,Garage railings,40,"$5,000 ",L1,50%,China,,,,,,,,
Parking Garage,1.12,Garage exhaust fans,10,"$5,000 ",L1,50%,China,,,,,,,,
Parking Garage,1.13,Wall leak repair allowance,10,"$6,000 ",L1,50%,China,,,,,,,,
Parking Garage,1.14,Garage expansion joint seal,15,"$16,000 ",L1,50%,China,,,,,,,,
Parking Garage,1.15,Garage steel beams and fireproofing,55,"$10,000 ",L1,50%,China,,,,,,,,
Site Features,2.01,Gate house exterior refurbish,20,"$15,000 ",L1,50%,China,,,,,,,,
Site Features,2.02,Gate house interior refurbish,20,"$15,000 ",L1,50%,China,,,,,,,,
Site Features,2.03,Board room building exterior repairs,20,"$80,000 ",L1,50%,China,,,,,,,,
Site Features,2.04,Board room building interior refurbish,20,"$50,000 ",L1,50%,China,,,,,,,,
Site Features,2.05,Water feature pump and filter,15,"$5,000 ",L1,50%,China,,,,,,,,
Site Features,2.06,Water feature piping,55,"$30,000 ",L1,50%,China,,,,,,,,
Site Features,2.07,Upper basin wall and basin repairs,10,"$7,500 ",L1,50%,China,,,,,,,,
Site Features,2.08,Upper basin coating,10,"$5,000 ",L1,50%,China,,,,,,,,
Site Features,2.09,Stone wall repairs,10,"$25,000 ",L1,50%,China,,,,,,,,
Site Features,2.1,Reflecting pool basin repairs,10,"$10,000 ",L1,50%,China,,,,,,,,
Site Features,2.11,Reflecting pool basin coating,10,"$50,000 ",L1,50%,China,,,,,,,,
Site Features,2.12,Tennis court fence,40,"$20,000 ",L1,50%,China,,,,,,,,
Site Features,2.13,Tennis court nets and wind screens,15,"$5,000 ",L1,50%,China,,,,,,,,
Site Features,2.14,Tennis court resurfacing,15,"$35,000 ",L1,50%,China,,,,,,,,
Site Features,2.15,Tennis court reconstruction,60,"$150,000 ",L1,50%,China,,,,,,,,
Site Features,2.16,Property perimeter fence,55,"$10,000 ",L1,50%,China,,,,,,,,
Site Features,2.17,Signage and site fixtures,20,"$10,000 ",L1,50%,China,,,,,,,,
Site Features,2.18,Drainage improvement allowance,20,"$25,000 ",L1,50%,China,,,,,,,,
Site Features,2.19,Tree maintenance and repair allowance,20,"$30,000 ",L1,50%,China,,,,,,,,
Site Features,2.2,Landscape restoration allowance,20,"$30,000 ",L1,50%,China,,,,,,,,
Site Features,2.21,Irrigation allowance,15,"$15,000 ",L1,50%,China,,,,,,,,
Site Features,2.22,Handrails,10,"$10,000 ",L1,50%,China,,,,,,,,
Site Features,2.23,Sidewalk replacement,10,"$25,000 ",L1,50%,China,,,,,,,,
Site Features,2.24,Front asphalt pavement sealing,6,"$7,800 ",L1,50%,China,,,,,,,,
Site Features,2.25,Service area asphalt pavement sealing,6,"$2,550 ",L1,50%,China,,,,,,,,
Site Features,2.26,Front asphalt milling and repaving,24,"$65,000 ",L1,50%,China,,,,,,,,
Site Features,2.27,Service area asphalt milling and repaving,24,"$21,250 ",L1,50%,China,,,,,,,,
Site Features,2.28,Curb and gutter replacement allowance,24,"$25,000 ",L1,50%,China,,,,,,,,
Site Features,2.29,Trench drains,20,"$25,000 ",L1,50%,China,,,,,,,,
Site Features,2.3,Site master plan,20,"$5,000 ",L1,50%,China,,,,,,,,
Site Features,2.31,Stormwater system repair allowance,15,"$40,000 ",L1,50%,China,,,,,,,,
Site Features,2.32,Storage shed,30,"$20,000 ",L1,50%,China,,,,,,,,
Pool Facilities,3.01,Whitecoat pool,8,"$10,000 ",L1,50%,China,,,,,,,,
Pool Facilities,3.02,Tile and coping,25,"$12,000 ",L1,50%,China,,,,,,,,
Pool Facilities,3.03,Pool deck coating,10,"$15,000 ",L1,50%,China,,,,,,,,
Pool Facilities,3.04,Pool pump and filters,15,"$5,000 ",L1,50%,China,,,,,,,,
Pool Facilities,3.05,Pool piping,50,"$30,000 ",L1,50%,China,,,,,,,,
Pool Facilities,3.06,Redecorate pool area,12,"$10,000 ",L1,50%,China,,,,,,,,
Pool Facilities,3.07,Pool heat exchanger,35,"$10,000 ",L1,50%,China,,,,,,,,
Pool Facilities,3.08,Pool furniture allowance,8,"$8,000 ",L1,50%,China,,,,,,,,
Pool Facilities,3.09,Pool deck replacement,30,"$75,000 ",L1,50%,China,,,,,,,,
Pool Facilities,3.1,Pool fittings and fixtures,30,"$20,000 ",L1,50%,China,,,,,,,,
Pool Facilities,3.11,Pool doors and windows,50,"$80,000 ",L1,50%,China,,,,,,,,
Pool Facilities,3.12,Pool area lighting,15,"$25,000 ",L1,50%,China,,,,,,,,
Roofing,4.01,Gate house roof,50,"$6,000 ",L1,50%,China,,,,,,,,
Roofing,4.02,Board room building roof,20,"$45,000 ",L1,50%,China,,,,,,,,
Roofing,4.03,Main roof replacement,35,"$980,000 ",L1,50%,China,,,,,,,,
Roofing,4.04,Main roof repairs,10,"$10,000 ",L1,50%,China,,,,,,,,
Roofing,4.05,Roof expansion joint,15,"$5,600 ",L1,50%,China,,,,,,,,
Roofing,4.06,Cooling tower roof replacement,25,"$48,000 ",L1,50%,China,,,,,,,,
Roofing,4.07,Cooling tower roof repairs,10,"$3,000 ",L1,50%,China,,,,,,,,
