Hour of the year	Hour of the day	Day of the year	Month	AZNMc	CAMXc	ERCTc	FRCCc	MROEc	MROWc	NEWEc	NWPPc	NYSTc	RFCEc	RFCMc	RFCWc	RMPAc	SPNOc	SPSOc	SRMVc	SRMWc	SRSOc	SRTVc	SRVCc
0	0	1	1	178.1	160.1	193.7	226.4	226.0	195.7	180.4	169.9	134.4	226.4	224.1	243.0	176.3	194.7	198.0	214.9	216.4	252.3	227.5	242.1
1	1	1	1	177.6	161.6	192.9	230.2	227.9	193.7	184.3	169.9	136.1	218.5	225.9	237.7	178.7	192.4	195.1	216.3	216.9	252.3	227.0	241.2
2	2	1	1	176.9	161.9	190.4	226.0	230.8	197.6	186.1	169.5	133.4	218.3	225.7	238.4	176.8	192.4	193.9	214.9	216.1	251.9	221.2	240.6
3	3	1	1	177.6	159.8	189.3	230.0	229.3	199.5	184.7	169.0	127.1	220.3	227.0	239.4	177.7	194.7	195.3	214.9	218.2	249.1	223.2	241.0
4	4	1	1	176.2	156.6	196.2	223.5	227.5	194.9	184.8	168.3	125.8	226.2	220.8	241.7	173.3	194.1	195.1	215.4	214.3	248.0	221.8	241.9
5	5	1	1	174.1	153.1	203.5	218.6	224.7	193.0	185.1	169.5	123.8	232.1	218.4	245.3	168.4	196.8	198.6	214.9	214.5	250.1	216.5	243.9
6	6	1	1	173.9	150.2	205.5	207.3	219.7	187.0	184.0	168.8	122.0	241.0	218.9	247.3	172.8	195.5	197.7	217.0	210.5	243.1	214.6	246.5
7	7	1	1	166.7	138.9	193.1	196.8	190.3	175.2	173.0	156.8	114.9	216.8	222.1	240.0	173.7	184.3	186.8	194.1	183.5	233.4	186.9	238.5
8	8	1	1	146.3	116.3	155.6	158.0	163.4	144.4	149.9	139.9	93.9	163.6	208.7	194.5	162.0	158.3	157.4	172.2	162.9	187.2	173.2	195.2
9	9	1	1	138.2	114.8	150.8	122.8	162.8	142.1	146.1	137.2	86.6	143.6	194.7	173.8	150.1	161.4	147.0	167.6	163.7	155.5	169.3	171.3
10	10	1	1	137.8	112.3	150.3	118.3	162.3	139.3	145.7	135.5	83.4	141.4	193.3	169.0	148.3	164.3	147.1	166.8	163.7	149.3	167.8	168.9
11	11	1	1	136.3	111.6	146.5	116.9	158.3	138.9	146.5	134.9	81.5	137.6	194.4	167.3	150.6	158.3	141.5	159.3	159.6	146.9	164.5	168.0
12	12	1	1	136.2	110.6	145.0	120.8	157.5	138.0	144.5	134.8	82.4	134.5	191.7	162.5	150.7	156.5	139.2	160.9	157.1	148.2	163.2	167.7
13	13	1	1	136.5	110.3	145.6	118.7	154.5	135.3	145.5	135.0	80.5	134.2	191.0	162.6	152.0	159.4	139.9	159.7	157.1	146.8	164.0	166.6
14	14	1	1	136.1	112.5	146.1	117.1	154.6	132.5	148.8	137.3	83.5	134.6	189.3	161.0	154.2	153.4	138.4	159.3	156.5	151.2	165.3	165.9
15	15	1	1	142.9	121.8	149.8	123.4	187.0	141.8	166.5	148.0	98.0	149.5	189.9	165.8	156.2	165.9	146.0	167.0	182.8	156.4	179.1	173.1
16	16	1	1	157.3	147.2	170.9	128.7	228.1	190.3	179.3	165.9	127.7	211.5	207.9	216.0	168.7	193.7	176.2	202.1	213.9	172.7	212.2	218.3
17	17	1	1	172.8	150.7	208.8	173.9	229.4	199.3	188.2	168.9	134.9	235.8	225.3	248.3	177.7	200.4	203.7	218.1	217.0	232.2	220.9	242.1
18	18	1	1	175.0	148.6	209.6	196.4	227.6	198.4	186.2	168.6	136.1	237.5	226.1	249.1	178.4	195.8	206.2	218.6	212.1	234.3	221.9	244.0
19	19	1	1	173.9	148.9	207.2	190.6	225.8	196.5	186.9	170.3	134.7	241.1	222.7	246.4	179.0	196.3	206.1	219.7	215.7	237.2	218.7	243.6
20	20	1	1	174.0	147.2	201.9	191.9	230.9	204.8	185.7	170.1	131.8	237.9	220.0	246.8	179.2	196.8	199.7	218.1	216.9	238.6	221.0	242.9
21	21	1	1	176.4	152.1	198.0	189.9	222.9	199.1	183.8	173.3	136.3	234.3	221.1	245.8	178.1	197.2	194.7	218.9	216.7	237.7	226.2	245.6
22	22	1	1	177.7	152.5	194.2	209.8	223.5	196.8	181.0	172.0	133.1	223.8	218.9	242.1	185.8	195.8	195.6	216.6	218.2	249.9	230.4	246.2
23	23	1	1	178.3	155.0	197.4	224.0	227.4	202.0	178.6	171.5	134.3	220.1	221.1	238.5	180.8	199.7	197.2	217.7	221.4	257.3	227.0	243.9
24	0	2	1	178.1	160.1	193.7	226.4	226.0	195.7	180.4	169.9	134.4	226.4	224.1	243.0	176.3	194.7	198.0	214.9	216.4	252.3	227.5	242.1
25	1	2	1	177.6	161.6	192.9	230.2	227.9	193.7	184.3	169.9	136.1	218.5	225.9	237.7	178.7	192.4	195.1	216.3	216.9	252.3	227.0	241.2
26	2	2	1	176.9	161.9	190.4	226.0	230.8	197.6	186.1	169.5	133.4	218.3	225.7	238.4	176.8	192.4	193.9	214.9	216.1	251.9	221.2	240.6
27	3	2	1	177.6	159.8	189.3	230.0	229.3	199.5	184.7	169.0	127.1	220.3	227.0	239.4	177.7	194.7	195.3	214.9	218.2	249.1	223.2	241.0
28	4	2	1	176.2	156.6	196.2	223.5	227.5	194.9	184.8	168.3	125.8	226.2	220.8	241.7	173.3	194.1	195.1	215.4	214.3	248.0	221.8	241.9
29	5	2	1	174.1	153.1	203.5	218.6	224.7	193.0	185.1	169.5	123.8	232.1	218.4	245.3	168.4	196.8	198.6	214.9	214.5	250.1	216.5	243.9
30	6	2	1	173.9	150.2	205.5	207.3	219.7	187.0	184.0	168.8	122.0	241.0	218.9	247.3	172.8	195.5	197.7	217.0	210.5	243.1	214.6	246.5
31	7	2	1	166.7	138.9	193.1	196.8	190.3	175.2	173.0	156.8	114.9	216.8	222.1	240.0	173.7	184.3	186.8	194.1	183.5	233.4	186.9	238.5
32	8	2	1	146.3	116.3	155.6	158.0	163.4	144.4	149.9	139.9	93.9	163.6	208.7	194.5	162.0	158.3	157.4	172.2	162.9	187.2	173.2	195.2
33	9	2	1	138.2	114.8	150.8	122.8	162.8	142.1	146.1	137.2	86.6	143.6	194.7	173.8	150.1	161.4	147.0	167.6	163.7	155.5	169.3	171.3
34	10	2	1	137.8	112.3	150.3	118.3	162.3	139.3	145.7	135.5	83.4	141.4	193.3	169.0	148.3	164.3	147.1	166.8	163.7	149.3	167.8	168.9
35	11	2	1	136.3	111.6	146.5	116.9	158.3	138.9	146.5	134.9	81.5	137.6	194.4	167.3	150.6	158.3	141.5	159.3	159.6	146.9	164.5	168.0
