Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m}
LOCATION_MILWAUKEE MITCHELL IN_WI_-_MN8_726400,42.950,-87.900,-6,205
Number of Design Conditions,Title of Design Condition,,Design Stat,ColdestMonth,DB996,DB990,DP996,HR_DP996,DB_DP996,DP990,HR_DP990,DB_DP990,WS004c,DB_WS004c,WS010c,DB_WS010c,WS_DB996,WD_DB996,Design Stat,HottestMonth,DBR,DB004,WB_DB004,DB010,WB_DB010,DB020,WB_DB020,WB004,DB_WB004,WB010,DB_WB010,WB020,DB_WB020,WS_DB004,WD_DB004,DP004,HR_DP004,DB_DP004,DP010,HR_DP010,DB_DP010,DP020,HR_DP020,DB_DP020,EN004,DB_EN004,EN010,DB_EN010,EN020,DB_EN020,#Hrs_8-4_&_DB-12.8/20.6,Design Stat,WS010,WS025,WS050,WBmax,DBmin_mean,DBmax_mean,DBmin_stddev,DBmax_stddev,DBmin05years,DBmax05years,DBmin10years,DBmax10years,DBmin20years,DBmax20years,DBmin50years,DBmax50years
,,,Units,{},{°C},{°C},{°C},{},{°C},{°C},{},{°C},{m/s},{°C},{m/s},{°C},{m/s},{deg},Units,{},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{m/s},{deg},{°C},{},{°C},{°C},{},{°C},{°C},{},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{},Units,{m/s},{m/s},{m/s},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C}
1,Climate Design Data 2013 ASHRAE Handbook,,Heating,1,-18.6,-16,-25.1,0.4,-17.9,-22.3,0.5,-15.2,12.5,-2.8,11.3,-2.9,5.6,300,Cooling,7,8.5,32.2,23.5,30.3,22.4,28.6,21.6,24.9,30.3,23.8,28.5,22.8,27,6.3,240,23.1,18.3,27.9,22.3,17.4,26.9,21.3,16.4,25.7,76.6,30.3,72.2,28.4,68.4,27.1,636,Extremes,11.3,10,8.8,29.5,-22.2,35.1,3.5,2.2,-24.7,36.7,-26.7,38,-28.7,39.2,-31.3,40.8
Number of Typical/Extreme Periods,Period Name,Period Type,Period Start Day,Period End Day,<repeat to # periods>
6,Summer - Week Nearest Max Temperature For Period,Extreme,7/13,7/19,Summer - Week Nearest Average Temperature For Period,Typical,6/29,7/ 5,Winter - Week Nearest Min Temperature For Period,Extreme,1/ 6,1/12,Winter - Week Nearest Average Temperature For Period,Typical,2/ 3,2/ 9,Autumn - Week Nearest Average Temperature For Period,Typical,10/20,10/26,Spring - Week Nearest Average Temperature For Period,Typical,4/12,4/18
Number of Ground Temperature Depths,Ground Temperature Depth {m},Soil Conductivity {W/m-K},Soil Density {kg/m3},Soil Specific Heat {J/kg-K},Jan {C},Feb{C},Mar {C},Apr {C},May {C},Jun {C},Jul {C},Aug {C},Sep {C},Oct {C},Nov {C},Dec {C},<repeat to Number of temperature depths>
1,1.0,,,,4.0,1.0,0.0,1.0,4.0,8.0,12.0,15.0,16.1,15.0,12.0,8.0
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>
No,0,0,0
Comment Line #1
  METEONORM Version 8.2.0.24079
Comment Line #2

Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>
1,1,Data,Sunday,1/ 1,12/31
Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr}
Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
2005/1/1,01:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-15.6,-18.9,76,99800,0,0,181,0,0,0,0,0,0,9999,260,8.8,3,2,777.7,77777,9,'999999999,2,0.0710,10,0,0.500,0.0,99.0
2005/1/1,02:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-16.1,-19.4,76,99900,0,0,179,0,0,0,0,0,0,9999,280,7.7,3,2,777.7,77777,9,'999999999,2,0.0710,10,0,0.500,0.0,99.0
2005/1/1,03:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-16.7,-19.4,79,100000,0,0,178,0,0,0,0,0,0,9999,260,5.7,3,2,777.7,77777,9,'999999999,2,0.0710,10,0,0.500,0.0,99.0
2005/1/1,04:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-17.2,-20.0,79,100000,0,0,176,0,0,0,0,0,0,9999,260,6.7,3,2,777.7,77777,9,'999999999,2,0.0710,10,0,0.500,0.0,99.0
2005/1/1,05:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-17.8,-20.6,79,100100,0,0,173,0,0,0,0,0,0,9999,260,6.7,3,2,777.7,77777,9,'999999999,2,0.0710,10,0,0.500,0.0,99.0
2005/1/1,06:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-18.3,-20.6,83,100200,0,0,173,0,0,0,0,0,0,9999,270,7.2,3,2,777.7,77777,9,'999999999,2,0.0710,10,0,0.500,0.0,99.0
2005/1/1,07:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-18.9,-21.7,79,100200,0,0,169,0,0,0,0,0,0,9999,270,6.7,3,2,777.7,77777,9,'999999999,2,0.0710,10,0,0.500,0.0,99.0
2005/1/1,08:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-19.4,-22.2,79,100300,15,1412,167,16,26,14,1790,2122,1701,9999,250,6.7,3,2,777.7,77777,9,'999999999,2,0.0710,10,0,0.500,0.0,99.0
2005/1/1,09:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-18.9,-22.2,75,100400,220,1412,167,101,316,52,10565,21780,7168,9999,260,6.2,3,2,777.7,77777,9,'999999999,2,0.0710,10,0,0.500,0.0,99.0
2005/1/1,10:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-17.8,-22.2,69,100500,391,1412,164,226,537,77,23263,43589,11174,9999,260,8.8,3,2,777.7,77777,9,'999999999,2,0.0710,10,0,0.500,0.0,99.0
2005/1/1,11:00,*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?*?,-16.7,-21.1,69,100500,510,1412,166,328,644,95,34056,56469,13636,9999,260,7.2,1,1,777.7,77777,9,'999999999,2,0.0710,10,0,0.500,0.0,99.0
