Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly) 
January,0.0,3550684.931506854,29916576.747549084,1400400438.3553699,0.0,1440969312.075372 
January,0.0,3550684.931506854,29916576.747549084,1224932069.6270419,0.0,1265500942.6406229 
July,0.0,70115695.17246942,4121559.6978527565,0.0,53602029.90771958,134074938.68681172 
July,0.0,70115695.17246942,3840529.0534693857,0.0,41996233.21660233,122187884.8225948 
January,0.0,3550684.931506854,29916576.747549084,1400621421.1896842,0.0,1441190294.9106224 
January,0.0,3550684.931506854,29916576.747549084,1224931904.2699762,0.0,1265500777.2835582 
July,0.0,70115695.17246942,4121559.6978069089,0.0,53602029.866203468,134074938.64525007 
July,0.0,70115695.17246942,3840529.0534694839,0.0,41996233.2167637,122187884.82275632 
January,356558074.78712478,1215594809.1427096,678782022.7046882,21508767554.31218,0.0,23884904839.857725 
February,322052454.64643278,1097956601.8063124,489780250.1905091,12532311354.928124,0.0,14554689303.68841 
March,356558074.78712478,1215594809.1427096,474817950.39175418,10358838562.089627,0.0,12530265519.689902 
April,345056201.4068941,1176382073.3639105,228026554.66153804,4414560217.756558,0.0,6284306287.311317 
May,356558074.78712478,1215594809.1427096,201026991.5592512,2940084960.934184,37638346.189554329,4875016133.709671 
June,345056201.4068941,1176382073.3639105,92593526.41138488,341065999.06014367,387267975.8186087,2462367432.1401917 
July,356558074.78712478,1215594809.1427096,110450591.62929195,8071764.129902905,1042977607.6502255,2857665341.8693258 
August,356558074.78712478,1215594809.1427096,102658132.2725107,43605230.60092564,777471396.3036848,2620041616.560765 
September,345056201.4068941,1176382073.3639105,101848238.05234626,925452598.0836487,313088641.3718478,2982175388.772925 
October,356558074.78712478,1215594809.1427096,192515379.29464139,3111499010.3436028,1184301.5426187674,5001945424.608775 
November,345056201.4068941,1176382073.3639105,419023536.1326961,8244722509.700543,0.0,10305988443.14101 
December,356558074.78712478,1215594809.1427096,661161104.8683339,16229176472.027022,0.0,18587474959.283884 
