Time,GROUNDUNIT:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],GROUNDUNIT:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],GROUNDUNIT:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],GROUNDUNIT:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],FLOOR3:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],FLOOR3:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],FLOOR3:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],FLOOR3:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],FLOOR2:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],FLOOR2:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],FLOOR2:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],FLOOR2:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,3.243218E+03,2.671888E+02,1.059868E-01,2.147775E-02,4.447690E+03,6.733815E+02,1.453450E-01,5.412829E-02,8.361014E+03,6.807290E+02,2.731799E-01,5.471754E-02
00:30:00,3.011179E+03,2.331684E+02,9.840432E-02,1.874302E-02,4.427691E+03,6.267487E+02,1.446915E-01,5.037980E-02,8.359496E+03,5.965399E+02,2.731303E-01,4.795038E-02
00:45:00,2.783402E+03,1.988445E+02,9.096103E-02,1.598390E-02,4.407896E+03,5.831836E+02,1.440446E-01,4.687790E-02,8.357973E+03,5.186708E+02,2.730806E-01,4.169122E-02
01:00:00,2.559099E+03,1.637820E+02,8.363123E-02,1.316541E-02,4.388373E+03,5.424921E+02,1.434066E-01,4.360699E-02,8.356447E+03,4.467214E+02,2.730307E-01,3.590790E-02
01:15:00,2.596194E+03,1.434787E+02,8.484393E-02,1.153334E-02,4.389554E+03,5.071086E+02,1.434452E-01,4.076276E-02,8.356458E+03,3.812669E+02,2.730311E-01,3.064664E-02
01:30:00,2.632392E+03,1.236860E+02,8.602657E-02,9.942319E-03,4.391024E+03,4.748559E+02,1.434932E-01,3.817018E-02,8.356479E+03,3.222365E+02,2.730318E-01,2.590174E-02
01:45:00,2.668113E+03,1.048428E+02,8.719361E-02,8.427620E-03,4.392705E+03,4.456639E+02,1.435481E-01,3.582365E-02,8.356511E+03,2.693589E+02,2.730328E-01,2.165141E-02
02:00:00,2.703558E+03,8.702462E+01,8.835170E-02,6.995329E-03,4.394544E+03,4.188008E+02,1.436082E-01,3.366431E-02,8.356556E+03,2.211809E+02,2.730343E-01,1.777882E-02
02:15:00,2.732103E+03,7.000405E+01,8.928439E-02,5.627153E-03,4.396502E+03,3.935666E+02,1.436722E-01,3.163591E-02,8.356613E+03,1.762422E+02,2.730361E-01,1.416661E-02
02:30:00,2.759570E+03,5.388968E+01,9.018198E-02,4.331823E-03,4.398534E+03,3.692970E+02,1.437386E-01,2.968505E-02,8.356683E+03,1.336976E+02,2.730384E-01,1.074683E-02
02:45:00,2.786239E+03,3.869342E+01,9.105349E-02,3.110297E-03,4.400602E+03,3.456500E+02,1.438062E-01,2.778424E-02,8.356765E+03,9.357743E+01,2.730411E-01,7.521920E-03
03:00:00,2.812227E+03,2.440718E+01,9.190278E-02,1.961923E-03,4.402683E+03,3.229963E+02,1.438742E-01,2.596327E-02,8.356858E+03,5.537634E+01,2.730441E-01,4.451257E-03
03:15:00,2.834625E+03,1.295005E+01,9.263472E-02,1.040964E-03,4.404759E+03,3.011812E+02,1.439420E-01,2.420971E-02,8.356960E+03,2.753920E+01,2.730475E-01,2.213658E-03
