Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,95868493.15068485,21015378.737261088,0.0,0.0,119559917.49940712,1917322728.585941 
January,0.0,95868493.15068485,19112702.6785802,0.0,0.0,117657241.43864259,1708395741.0298537 
July,0.0,212297953.63068513,12676225.6017293,0.0,129094768.303217,356697510.3105558,14816643.65207131 
July,0.0,212297953.63068513,11391419.83267064,0.0,109235483.47147297,335553898.5629054,15228156.63695564 
January,0.0,95868493.15068485,21016952.151170646,0.0,0.0,119561490.91316469,1917518716.6949249 
January,0.0,95868493.15068485,19112701.512092405,0.0,0.0,117657240.27215483,1708395595.744819 
July,0.0,212297953.63068513,12676225.599475684,0.0,129094768.27136195,356697510.2764471,14816643.65207164 
July,0.0,212297953.63068513,11391419.832683238,0.0,109235483.47165051,335553898.5630954,15228156.636955686 
January,542908523.1173718,14820962985.434506,292199840.0413006,0.0,8720667.510885766,15906878279.539509,19329776832.562845 
February,490368988.62214258,13386676244.90858,204207870.11851434,0.0,151422721.84344656,14451406289.480433,9744330841.269932 
March,542908523.1173718,14820962985.434506,191172112.81123687,0.0,225034412.20162738,16022048316.771765,6461658422.3977379 
April,525395344.95229509,14342867405.259198,206447030.352645,0.0,1017435879.4440792,16326150280.706482,1877678316.670937 
May,542908523.1173718,14820962985.434506,277946478.8309627,0.0,1999466750.9177736,17882911849.32581,1435007453.4787107 
June,525395344.95229509,14342867405.259198,388064145.82380977,0.0,3799474911.588298,19289526844.278665,204322684.99892596 
July,542908523.1173718,14820962985.434506,494419656.45756569,0.0,5379257222.681753,21479075042.149576,123271072.390852 
August,542908523.1173718,14820962985.434506,448336539.31808277,0.0,4654636289.82458,20708512471.07673,144935834.37961183 
September,525395344.95229509,14342867405.259198,329215890.8277945,0.0,2962479190.461886,18394028848.571306,499049486.0219907 
October,542908523.1173718,14820962985.434506,217465708.70830635,0.0,1197230935.96666,17020676162.653302,1271657701.5197428 
November,525395344.95229509,14342867405.259198,182407196.48643,0.0,319203367.97213748,15604400817.782822,5096271899.296375 
December,542908523.1173718,14820962985.434506,229601420.7558086,0.0,8409452.512653884,15844381040.207354,12466009474.348845 
