Time,GROUNDUNIT:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],GROUNDUNIT:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],GROUNDUNIT:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],GROUNDUNIT:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],FLOOR3:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],FLOOR3:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],FLOOR3:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],FLOOR3:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],FLOOR2:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],FLOOR2:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],FLOOR2:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],FLOOR2:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,3.050351E+03,3.588542E+02,9.969045E-02,2.884981E-02,4.305038E+03,7.392605E+02,1.406897E-01,5.942850E-02,8.220459E+03,7.448309E+02,2.685978E-01,5.987333E-02
00:30:00,2.820713E+03,3.250782E+02,9.218583E-02,2.613427E-02,4.285056E+03,6.919329E+02,1.400367E-01,5.562383E-02,8.218927E+03,6.599891E+02,2.685477E-01,5.305323E-02
00:45:00,2.595226E+03,2.918521E+02,8.481683E-02,2.346293E-02,4.265276E+03,6.476000E+02,1.393902E-01,5.205992E-02,8.217390E+03,5.813755E+02,2.684975E-01,4.673380E-02
01:00:00,2.373140E+03,2.589576E+02,7.755896E-02,2.081827E-02,4.245763E+03,6.060437E+02,1.387525E-01,4.871921E-02,8.215850E+03,5.085504E+02,2.684472E-01,4.087970E-02
01:15:00,2.409659E+03,2.406130E+02,7.875279E-02,1.934338E-02,4.246931E+03,5.698040E+02,1.387907E-01,4.580591E-02,8.215862E+03,4.420275E+02,2.684476E-01,3.553222E-02
01:30:00,2.445302E+03,2.227357E+02,7.991744E-02,1.790606E-02,4.248386E+03,5.363830E+02,1.388382E-01,4.311921E-02,8.215882E+03,3.814543E+02,2.684482E-01,3.066302E-02
01:45:00,2.480515E+03,2.053099E+02,8.106802E-02,1.650507E-02,4.250051E+03,5.057934E+02,1.388926E-01,4.066013E-02,8.215914E+03,3.269297E+02,2.684493E-01,2.628004E-02
02:00:00,2.515473E+03,1.884551E+02,8.221036E-02,1.514999E-02,4.251875E+03,4.781509E+02,1.389522E-01,3.843797E-02,8.215958E+03,2.781142E+02,2.684507E-01,2.235600E-02
02:15:00,2.543627E+03,1.722388E+02,8.313035E-02,1.384626E-02,4.253818E+03,4.525287E+02,1.390158E-01,3.637824E-02,8.216016E+03,2.329161E+02,2.684526E-01,1.872275E-02
02:30:00,2.570744E+03,1.568014E+02,8.401654E-02,1.260517E-02,4.255837E+03,4.286503E+02,1.390817E-01,3.445868E-02,8.216085E+03,1.906102E+02,2.684549E-01,1.532201E-02
