Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,95868493.15068485,17496580.394474918,0.0,0.0,116011073.5451598,1715544208.5642937 
January,0.0,95868493.15068485,15556807.223411687,0.0,0.0,114071300.37409659,1509580172.259348 
July,0.0,212297953.63068513,1223287.790399999,0.0,0.0,216125767.6327077,0.0 
July,0.0,212297953.63068513,1223287.790399999,0.0,0.0,216125578.9016121,0.0 
January,0.0,95868493.15068485,17498127.300885265,0.0,0.0,116012620.4515702,1715735983.1425315 
January,0.0,95868493.15068485,15556806.048461505,0.0,0.0,114071299.19914645,1509580026.7057586 
July,0.0,212297953.63068513,1223287.790399999,0.0,0.0,216125767.6327077,0.0 
July,0.0,212297953.63068513,1223287.790399999,0.0,0.0,216125578.9016121,0.0 
January,0.0,2971923287.671127,222585891.10128875,0.0,0.0,3276252789.2487108,19639926488.064477 
February,0.0,2684317808.219085,190354043.09165363,0.0,1501335.5858911472,2949751650.884476,16539945668.657704 
March,0.0,2971923287.671127,164011259.57373695,0.0,939258.9731126818,3218140089.425106,13333409706.801308 
April,0.0,2876054794.5204465,97218780.90059617,0.0,85162673.83140141,3136920869.9508035,5655691723.838143 
May,0.0,2971923287.671127,98388638.92789802,0.0,351993939.5549611,3503228977.1792919,3597342599.809461 
June,0.0,2876054794.5204465,130969932.39033403,0.0,1279612832.4129713,4364842595.978945,358768777.9702431 
July,0.0,2971923287.671127,159508955.2210833,0.0,1762100697.8038514,4974355595.154593,30316040.54002608 
August,0.0,2971923287.671127,170191742.18908785,0.0,1869210718.426881,5092289881.669316,182605433.45376197 
September,0.0,2876054794.5204465,109590825.04275404,0.0,841713768.6737775,3905910405.307192,1444144778.9843076 
October,0.0,2971923287.671127,81568346.38940807,0.0,48601963.592131029,3183497607.079224,4087285074.959652 
November,0.0,2876054794.5204465,143331407.01296763,0.0,0.0,3098393704.646305,11170249983.381758 
December,0.0,2971923287.671127,237913691.78562875,0.0,0.0,3291631637.8438799,21122884781.82055 
