Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly) 
January,0.0,95868493.15068485,33143127.685567954,1072380982.2690785,0.0,1222589428.3008123 
January,0.0,95868493.15068485,33143127.685567954,972884943.386276,0.0,1123093376.2919815 
July,0.0,212297953.63068513,7880153.0156017099,0.0,127182877.39463996,364806230.4794847 
July,0.0,212297953.63068513,7122630.587679196,0.0,109861057.84708469,346726645.14731279 
January,0.0,95868493.15068485,33143127.685567954,1072539183.8676517,0.0,1222747629.8855088 
January,0.0,95868493.15068485,33143127.685567954,972884826.143025,0.0,1123093259.0487455 
July,0.0,212297953.63068513,7880153.014626385,0.0,127182877.36278552,364806230.4466551 
July,0.0,212297953.63068513,7122630.587681819,0.0,109861057.84721509,346726645.14744576 
January,542908523.1173718,14820962985.434506,613969080.8837079,7927070850.716273,59600286.092481847,24325456437.347845 
February,490368988.62214258,13386676244.90858,424721406.4387271,3662042270.9553625,323170659.6611403,18611985299.386484 
March,542908523.1173718,14820962985.434506,365580280.7392025,2179142028.8927066,534523010.2603587,18802749011.979616 
April,525395344.95229509,14342867405.259198,220302641.19618929,449007992.35449948,1387852112.4992944,17273296472.116266 
May,542908523.1173718,14820962985.434506,253336450.53254126,289854436.1134624,2356871053.4151484,18623222459.966627 
June,525395344.95229509,14342867405.259198,270468188.77266028,12451782.432533376,3976762950.952828,19475537064.18114 
July,542908523.1173718,14820962985.434506,346646306.75728079,0.0,5370941250.745873,21440647620.841989 
August,542908523.1173718,14820962985.434506,320493512.0601928,372572.3494306583,4737495945.444391,20781563572.116514 
September,525395344.95229509,14342867405.259198,250327812.1996546,66392840.32452328,3223331348.329305,18756252123.291646 
October,542908523.1173718,14820962985.434506,227054408.44610925,292282226.22565409,1621362916.5804949,17864340969.558946 
November,525395344.95229509,14342867405.259198,330466961.2655594,1633211801.6275669,636020693.0162697,17816356064.390268 
December,542908523.1173718,14820962985.434506,541322341.9831634,4813006047.911863,100287974.76839137,21178648431.930795 
