Time,GROUNDUNIT:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],GROUNDUNIT:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],GROUNDUNIT:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],GROUNDUNIT:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],FLOOR3:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],FLOOR3:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],FLOOR3:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],FLOOR3:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],FLOOR2:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],FLOOR2:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],FLOOR2:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],FLOOR2:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,2.029611E+03,3.080949E+02,6.634140E-02,2.476665E-02,3.066406E+03,7.313966E+02,1.002305E-01,5.879356E-02,5.803332E+03,8.013627E+02,1.896834E-01,6.441692E-02
00:30:00,1.798035E+03,2.767240E+02,5.877199E-02,2.224481E-02,3.046445E+03,6.885452E+02,9.957798E-02,5.534893E-02,5.801817E+03,7.249125E+02,1.896339E-01,5.827152E-02
00:45:00,1.570666E+03,2.450053E+02,5.134010E-02,1.969502E-02,3.026688E+03,6.486762E+02,9.893218E-02,5.214406E-02,5.800296E+03,6.545964E+02,1.895842E-01,5.261920E-02
01:00:00,1.346772E+03,2.125185E+02,4.402175E-02,1.708347E-02,3.007202E+03,6.115911E+02,9.829526E-02,4.916297E-02,5.798773E+03,5.900059E+02,1.895344E-01,4.742712E-02
01:15:00,1.383844E+03,1.947213E+02,4.523357E-02,1.565279E-02,3.008382E+03,5.795802E+02,9.833381E-02,4.658977E-02,5.798785E+03,5.313774E+02,1.895348E-01,4.271431E-02
01:30:00,1.419921E+03,1.772414E+02,4.641274E-02,1.424762E-02,3.009850E+03,5.504311E+02,9.838180E-02,4.424662E-02,5.798805E+03,4.786240E+02,1.895355E-01,3.847376E-02
01:45:00,1.455581E+03,1.605121E+02,4.757827E-02,1.290280E-02,3.011528E+03,5.240673E+02,9.843665E-02,4.212738E-02,5.798837E+03,4.314601E+02,1.895365E-01,3.468252E-02
02:00:00,1.490959E+03,1.446010E+02,4.873460E-02,1.162376E-02,3.013364E+03,4.997464E+02,9.849667E-02,4.017235E-02,5.798882E+03,3.884164E+02,1.895380E-01,3.122249E-02
02:15:00,1.519451E+03,1.293877E+02,4.966585E-02,1.040082E-02,3.015319E+03,4.769162E+02,9.856056E-02,3.833716E-02,5.798939E+03,3.483309E+02,1.895398E-01,2.800024E-02
02:30:00,1.546877E+03,1.149779E+02,5.056228E-02,9.242472E-03,3.017347E+03,4.549090E+02,9.862686E-02,3.656811E-02,5.799009E+03,3.103526E+02,1.895421E-01,2.494739E-02
02:45:00,1.573500E+03,1.013811E+02,5.143249E-02,8.149474E-03,3.019412E+03,4.333793E+02,9.869435E-02,3.483743E-02,5.799091E+03,2.745093E+02,1.895448E-01,2.206614E-02
03:00:00,1.599444E+03,8.858656E+01,5.228049E-02,7.120981E-03,3.021489E+03,4.126985E+02,9.876224E-02,3.317497E-02,5.799183E+03,2.397881E+02,1.895478E-01,1.927509E-02
03:15:00,1.621802E+03,7.641927E+01,5.301127E-02,6.142909E-03,3.023561E+03,3.928693E+02,9.882997E-02,3.158099E-02,5.799286E+03,2.066133E+02,1.895512E-01,1.660836E-02
03:30:00,1.643243E+03,6.489238E+01,5.371211E-02,5.216317E-03,3.025609E+03,3.741217E+02,9.889689E-02,3.007394E-02,5.799396E+03,1.757681E+02,1.895548E-01,1.412889E-02
03:45:00,1.663971E+03,5.396027E+01,5.438966E-02,4.337541E-03,3.027617E+03,3.565908E+02,9.896254E-02,2.866471E-02,5.799514E+03,1.446365E+02,1.895586E-01,1.162641E-02
04:00:00,1.684099E+03,4.356704E+01,5.504756E-02,3.502085E-03,3.029578E+03,3.404042E+02,9.902663E-02,2.736354E-02,5.799637E+03,1.142897E+02,1.895627E-01,9.187014E-03
04:15:00,1.701947E+03,3.371221E+01,5.563097E-02,2.709911E-03,3.031486E+03,3.254385E+02,9.908901E-02,2.616053E-02,5.799765E+03,8.386946E+01,1.895668E-01,6.741717E-03
04:30:00,1.719116E+03,2.438111E+01,5.619218E-02,1.959839E-03,3.033336E+03,3.117159E+02,9.914946E-02,2.505744E-02,5.799896E+03,5.199215E+01,1.895711E-01,4.179305E-03
04:45:00,1.735697E+03,1.554740E+01,5.673416E-02,1.249753E-03,3.035103E+03,2.984686E+02,9.920725E-02,2.399255E-02,5.800027E+03,2.697224E+01,1.895754E-01,2.168116E-03
05:00:00,1.751787E+03,8.682857E+00,5.726011E-02,6.979563E-04,3.036791E+03,2.877818E+02,9.926240E-02,2.313348E-02,5.800158E+03,1.009198E+01,1.895797E-01,8.112250E-04
05:15:00,1.766324E+03,4.084503E+00,5.773530E-02,3.283250E-04,3.038420E+03,2.801349E+02,9.931565E-02,2.251879E-02,5.800290E+03,1.542251E+00,1.895840E-01,1.240707E-04
05:30:00,1.780340E+03,1.766632E+00,5.819344E-02,1.420070E-04,3.039973E+03,2.746444E+02,9.936643E-02,2.207744E-02,5.800419E+03,1.871324E+01,1.895882E-01,1.504323E-03
05:45:00,1.793992E+03,3.654718E+00,5.863969E-02,2.937764E-04,3.041469E+03,2.719873E+02,9.941534E-02,2.186384E-02,5.800548E+03,4.060192E+01,1.895924E-01,3.263808E-03
06:00:00,1.807343E+03,9.583639E+00,5.907609E-02,7.703612E-04,3.042912E+03,2.720084E+02,9.946251E-02,2.186555E-02,5.800675E+03,7.003661E+01,1.895966E-01,5.629870E-03
06:15:00,1.819725E+03,2.046393E+01,5.948085E-02,1.644957E-03,3.044300E+03,2.756522E+02,9.950786E-02,2.215846E-02,5.800801E+03,1.052506E+02,1.896007E-01,8.460404E-03
