Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly) 
January,0.0,95868493.15068485,31535393.857672603,918683482.4535675,0.0,1048733369.4619248 
January,0.0,95868493.15068485,31535393.857672603,822044661.0425818,0.0,952094548.0509395 
July,0.0,212297953.63068513,1223287.790399999,0.0,0.0,216125767.6327077 
July,0.0,212297953.63068513,1223287.790399999,0.0,0.0,216125578.9016121 
January,0.0,95868493.15068485,31535393.857672603,918840185.1355157,0.0,1048890072.1438729 
January,0.0,95868493.15068485,31535393.857672603,822044543.4669412,0.0,952094430.4752984 
July,0.0,212297953.63068513,1223287.790399999,0.0,0.0,216125767.6327077 
July,0.0,212297953.63068513,1223287.790399999,0.0,0.0,216125578.9016121 
January,0.0,2971923287.671127,523855512.8153193,9340546953.927172,0.0,12927707574.641266 
February,0.0,2684317808.219085,489838085.986443,7687797330.093896,4642287.685469736,10940173975.972733 
March,0.0,2971923287.671127,456802167.77978149,5925547446.559885,7668868.805786102,9443208054.02369 
April,0.0,2876054794.5204465,201913027.60081796,2116213292.8966013,132200085.56956333,5404865821.285792 
May,0.0,2971923287.671127,190212054.76521389,1261341396.169601,471282203.1674742,4975682052.798689 
June,0.0,2876054794.5204465,104304162.93833225,86654263.88226107,1478302791.7416368,4623521049.737852 
July,0.0,2971923287.671127,106245432.69164323,807197.4496135605,1872245526.122809,5032044098.39373 
August,0.0,2971923287.671127,120487876.91682768,22369959.166238689,2039342669.6698774,5235087926.806311 
September,0.0,2876054794.5204465,100201991.86998557,398999465.68818137,977203681.687756,4431010950.836567 
October,0.0,2971923287.671127,155478228.75717918,1358993136.859324,89554575.61760216,4657353238.331784 
November,0.0,2876054794.5204465,391154446.50093236,4818402398.620228,112610.68583415228,8164731753.440322 
December,0.0,2971923287.671127,685469887.9840458,10361291770.941899,0.0,14100479604.984248 
