Time,GROUNDUNIT:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],GROUNDUNIT:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],GROUNDUNIT:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],GROUNDUNIT:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],FLOOR3:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],FLOOR3:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],FLOOR3:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],FLOOR3:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],FLOOR2:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],FLOOR2:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],FLOOR2:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],FLOOR2:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.836494E+03,3.991099E+02,6.003361E-02,3.208801E-02,2.923555E+03,7.970386E+02,9.556622E-02,6.407614E-02,5.662584E+03,8.652463E+02,1.850914E-01,6.955718E-02
00:30:00,1.607359E+03,3.681431E+02,5.254336E-02,2.959819E-02,2.903613E+03,7.535187E+02,9.491436E-02,6.057750E-02,5.661055E+03,7.881372E+02,1.850415E-01,6.335833E-02
00:45:00,1.382303E+03,3.376727E+02,4.518642E-02,2.714828E-02,2.883872E+03,7.129074E+02,9.426906E-02,5.731269E-02,5.659521E+03,7.170689E+02,1.849913E-01,5.764510E-02
01:00:00,1.160649E+03,3.074825E+02,3.794072E-02,2.472088E-02,2.864399E+03,6.749817E+02,9.363251E-02,5.426378E-02,5.657984E+03,6.515936E+02,1.849411E-01,5.238149E-02
01:15:00,1.197148E+03,2.916313E+02,3.913384E-02,2.344634E-02,2.865564E+03,6.421071E+02,9.367061E-02,5.162095E-02,5.657995E+03,5.918832E+02,1.849414E-01,4.758134E-02
01:30:00,1.232634E+03,2.760567E+02,4.029388E-02,2.219405E-02,2.867017E+03,6.117821E+02,9.371809E-02,4.918308E-02,5.658016E+03,5.375720E+02,1.849421E-01,4.321523E-02
01:45:00,1.267773E+03,2.607337E+02,4.144254E-02,2.096200E-02,2.868679E+03,5.840114E+02,9.377243E-02,4.695058E-02,5.658047E+03,4.887460E+02,1.849431E-01,3.929009E-02
02:00:00,1.302646E+03,2.457714E+02,4.258253E-02,1.975894E-02,2.870500E+03,5.589017E+02,9.383195E-02,4.493202E-02,5.658092E+03,4.450494E+02,1.849446E-01,3.577732E-02
02:15:00,1.330730E+03,2.313494E+02,4.350056E-02,1.859935E-02,2.872440E+03,5.356732E+02,9.389537E-02,4.306471E-02,5.658149E+03,4.046851E+02,1.849465E-01,3.253244E-02
02:30:00,1.357793E+03,2.176017E+02,4.438525E-02,1.749401E-02,2.874455E+03,5.140509E+02,9.396123E-02,4.132650E-02,5.658219E+03,3.669286E+02,1.849487E-01,2.949718E-02
