Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WINDOWFRACTION2:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 01/21  01:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-26.800967850144639,0.0,19.671201209689149,2.304061705218607,499.99999999999997,1835448.5292200149,0.0,21.39556635111284,17.754038497405447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 01/21  02:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-26.8009677993344,0.0,19.6726699816593,2.3038515463866227,499.9999999999999,1845904.7402275529,0.0,21.34153983179418,17.755648659091994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 01/21  03:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-26.800967646903698,0.0,19.673523710616359,2.303729410775963,499.99999999999997,1852843.1937303609,0.0,21.298897686013654,17.756584571848256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 01/21  04:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-26.800967646903698,0.0,19.67420101386126,2.303632517671555,500.0000000000001,1859654.056790083,0.0,21.2647367908277,17.75732707543104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 01/21  05:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-26.800967646903698,0.0,19.674682300567086,2.303563729908871,499.99999999999985,1864644.4240249836,0.0,21.236894037130566,17.75785469468253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 01/21  06:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-26.800967646903698,0.0,19.674996898000609,2.3035187481829157,499.99999999999968,1868111.410949327,0.0,21.213637060443966,17.758199577336556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 01/21  07:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-26.800967646903698,0.0,19.675080978815918,2.303506677464224,499.9999999999997,1872327.1378380648,0.0,21.194337456614574,17.75829175105352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 01/21  08:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-26.800967646903698,0.0,19.675267790726865,2.3034799408332389,500.0,1875409.4216939449,0.0,21.17679127588803,17.75849654603242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 01/21  09:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-26.800967646903698,0.0,19.675571785125,2.3034364930921287,500.00000000000019,1873842.953313062,0.0,21.16051459051328,17.758829805401569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 01/21  10:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-26.800967646903698,0.0,19.675807036186016,2.3034028337739498,500.0,1876989.2941831286,0.0,21.145939983904549,17.7590877026865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
