Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,31956164.38356158,10518155.891871544,0.0,0.0,43392320.27543317,1250140835.0550855 
January,0.0,31956164.38356158,9267353.664370727,0.0,0.0,42141518.04793239,1093372750.1028999 
July,0.0,103805315.74356179,543683.4624000009,0.0,0.0,105225525.41758438,0.0 
July,0.0,103805315.74356179,543683.4624000009,0.0,0.0,105225336.6864888,0.0 
January,0.0,31956164.38356158,10520349.751361587,0.0,0.0,43394514.13492322,1250415800.3080624 
January,0.0,31956164.38356158,9267352.0107783,0.0,0.0,42141516.39433994,1093372542.8514953 
July,0.0,103805315.74356179,543683.4624000009,0.0,0.0,105225525.41758438,0.0 
July,0.0,103805315.74356179,543683.4624000009,0.0,0.0,105225336.6864888,0.0 
January,0.0,990641095.890461,149124093.90511552,0.0,0.0,1167916985.0166207,16578339988.914099 
February,0.0,894772602.739769,126268978.9547116,0.0,0.0,1046236045.6821916,13917822986.455569 
March,0.0,990641095.890461,109360299.27376531,0.0,0.0,1127699678.3712044,11594163886.390688 
April,0.0,958684931.506897,59958935.10883504,0.0,0.0,1045288487.3139502,5470633826.610544 
May,0.0,990641095.890461,46196435.045872639,0.0,25027730.83562086,1089220372.7971194,3455158825.8794186 
June,0.0,958684931.506897,43958317.61525794,0.0,353975836.25105658,1382984122.0282438,364040824.2935135 
July,0.0,990641095.890461,63067775.85327165,0.0,676455292.903643,1757418819.105738,2575877.4583934049 
August,0.0,990641095.890461,67377932.68532059,0.0,718917618.3638193,1804332780.3216804,72520217.67270765 
September,0.0,958684931.506897,45519886.047593187,0.0,286063109.00552299,1316978943.630066,1197496350.8516463 
October,0.0,990641095.890461,49376106.81055642,0.0,683414.5074497766,1068536626.6348813,4069619649.8109695 
November,0.0,958684931.506897,94245668.13936119,0.0,0.0,1080098102.7589994,9767928281.547829 
December,0.0,990641095.890461,155066849.2647325,0.0,0.0,1173934603.5421713,17322750032.397039 
