Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly) 
January,0.0,31956164.38356158,15701524.231133406,712730997.6805076,0.0,767490278.0607203 
January,0.0,31956164.38356158,15701524.231133406,641115315.2628465,0.0,695874606.6280156 
July,0.0,103805315.74356179,3230545.715828844,0.0,56874238.337755087,169733524.86424289 
July,0.0,103805315.74356179,2976968.225408828,0.0,47505553.47882007,160111075.97265256 
January,0.0,31956164.38356158,15701524.231133406,712953835.1479308,0.0,767713115.5344833 
January,0.0,31956164.38356158,15701524.231133406,641115148.5867169,0.0,695874439.9518672 
July,0.0,103805315.74356179,3230545.7149577259,0.0,56874238.29640857,169733524.8220256 
July,0.0,103805315.74356179,2976968.2254050786,0.0,47505553.47848324,160111075.97231198 
January,392525124.40407267,5315700039.692044,350121319.9916139,8811022264.9349,0.0,14994567924.920939 
February,354538822.04238906,4801277455.205701,244760760.77489815,4862050815.036271,2023038.4563002377,10377239533.632494 
March,392525124.40407267,5315700039.692044,220135298.24300713,3366716006.569873,0.0,9419532592.187626 
April,379863023.6168448,5144225844.863263,106344653.98186396,809349014.8462457,99730550.1358727,6659794327.56649 
May,392525124.40407267,5315700039.692044,112688434.64009908,480156617.3292856,423019757.45512226,6848202924.617436 
June,379863023.6168448,5144225844.863263,90435510.18939372,3553239.353208588,1293139094.4993735,7031218368.601293 
July,392525124.40407267,5315700039.692044,121692203.59566136,0.0,2106080839.233522,8060010701.455366 
August,392525124.40407267,5315700039.692044,111466367.86702778,0.0,1793481409.8988777,7737326915.31577 
September,379863023.6168448,5144225844.863263,86220256.92339343,29107580.050226276,979617335.4752258,6739381677.423179 
October,392525124.40407267,5315700039.692044,92094926.58843395,349780054.4243494,159676643.15313474,6434370637.760068 
November,379863023.6168448,5144225844.863263,189107501.48223133,2480971206.4943296,1552875.5566630865,8316524574.550261 
December,392525124.40407267,5315700039.692044,337368753.3964809,6510732698.653482,0.0,12681311114.604739 
