Time,WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,7.709688E+03,4.062968E+02,2.519985E-01,3.265973E-02
00:30:00,7.277974E+03,2.938703E+02,2.378877E-01,2.362241E-02
00:45:00,6.854024E+03,1.804919E+02,2.240307E-01,1.450860E-02
01:00:00,6.436657E+03,7.693662E+01,2.103887E-01,6.184425E-03
01:15:00,6.502782E+03,3.189361E+01,2.125504E-01,2.563711E-03
01:30:00,6.567709E+03,6.308324E+00,2.146723E-01,5.070823E-04
01:45:00,6.632355E+03,0.000000E+00,2.167851E-01,0.000000E+00
02:00:00,6.696855E+03,0.000000E+00,2.188932E-01,0.000000E+00
02:15:00,6.749804E+03,0.000000E+00,2.206237E-01,0.000000E+00
02:30:00,6.800980E+03,0.000000E+00,2.222964E-01,0.000000E+00
02:45:00,6.850888E+03,0.000000E+00,2.239277E-01,0.000000E+00
03:00:00,6.899711E+03,0.000000E+00,2.255235E-01,0.000000E+00
03:15:00,6.942377E+03,0.000000E+00,2.269181E-01,0.000000E+00
03:30:00,6.983459E+03,0.000000E+00,2.282609E-01,0.000000E+00
03:45:00,7.023132E+03,0.000000E+00,2.295577E-01,0.000000E+00
04:00:00,7.061605E+03,0.000000E+00,2.308152E-01,0.000000E+00
04:15:00,7.096168E+03,0.000000E+00,2.319450E-01,0.000000E+00
04:30:00,7.129364E+03,0.000000E+00,2.330301E-01,0.000000E+00
04:45:00,7.161601E+03,0.000000E+00,2.340838E-01,0.000000E+00
05:00:00,7.193022E+03,0.000000E+00,2.351108E-01,0.000000E+00
05:15:00,7.221646E+03,0.000000E+00,2.360464E-01,0.000000E+00
05:30:00,7.249343E+03,0.000000E+00,2.369517E-01,0.000000E+00
05:45:00,7.276279E+03,0.000000E+00,2.378322E-01,0.000000E+00
06:00:00,7.302549E+03,0.000000E+00,2.386908E-01,0.000000E+00
06:15:00,7.326746E+03,0.000000E+00,2.394818E-01,0.000000E+00
06:30:00,7.350251E+03,0.000000E+00,2.402501E-01,0.000000E+00
06:45:00,7.373207E+03,1.799152E+01,2.410004E-01,1.459928E-03
07:00:00,7.395662E+03,1.037388E+02,2.417344E-01,8.352764E-03
07:15:00,7.416708E+03,2.307314E+02,2.424223E-01,1.856115E-02
07:30:00,7.437214E+03,4.128415E+02,2.430926E-01,3.320042E-02
07:45:00,7.457272E+03,6.191582E+02,2.437482E-01,4.977231E-02
08:00:00,7.476939E+03,7.941377E+02,2.443910E-01,6.383923E-02
08:15:00,7.495495E+03,9.685722E+02,2.449976E-01,7.786268E-02
08:30:00,7.513628E+03,1.121410E+03,2.455903E-01,9.015021E-02
08:45:00,7.531411E+03,1.271257E+03,2.461715E-01,1.021970E-01
09:00:00,7.548889E+03,1.425060E+03,2.467428E-01,1.145615E-01
09:15:00,7.565472E+03,1.582642E+03,2.472849E-01,1.272294E-01
09:30:00,7.581719E+03,1.748771E+03,2.478159E-01,1.405838E-01
09:45:00,7.597690E+03,1.916366E+03,2.483380E-01,1.540557E-01
10:00:00,7.613420E+03,2.082053E+03,2.488521E-01,1.673740E-01
10:15:00,7.628412E+03,2.238066E+03,2.493422E-01,1.799144E-01
10:30:00,7.643135E+03,2.384915E+03,2.498234E-01,1.917181E-01
10:45:00,7.657635E+03,2.521013E+03,2.502973E-01,2.026574E-01
11:00:00,7.671942E+03,2.645425E+03,2.507650E-01,2.126572E-01
11:15:00,7.685629E+03,2.755992E+03,2.512123E-01,2.215442E-01
11:30:00,7.699095E+03,2.851770E+03,2.516525E-01,2.292423E-01
11:45:00,7.712379E+03,2.936243E+03,2.520867E-01,2.360318E-01
12:00:00,7.725505E+03,3.008406E+03,2.525158E-01,2.418319E-01
12:15:00,7.738102E+03,3.073354E+03,2.529275E-01,2.470521E-01
12:30:00,7.750514E+03,3.133950E+03,2.533332E-01,2.519227E-01
12:45:00,7.762775E+03,3.188155E+03,2.537339E-01,2.562796E-01
13:00:00,7.774904E+03,3.240313E+03,2.541304E-01,2.604721E-01
13:15:00,7.786574E+03,3.296252E+03,2.545119E-01,2.649684E-01
13:30:00,7.798087E+03,3.353912E+03,2.548882E-01,2.696033E-01
13:45:00,7.809472E+03,3.418200E+03,2.552603E-01,2.747709E-01
14:00:00,7.820746E+03,3.491967E+03,2.556288E-01,2.807006E-01
14:15:00,7.831617E+03,3.571479E+03,2.559841E-01,2.870921E-01
14:30:00,7.842352E+03,3.657320E+03,2.563350E-01,2.939923E-01
14:45:00,7.852977E+03,3.745504E+03,2.566823E-01,3.010809E-01
15:00:00,7.863506E+03,3.831990E+03,2.570264E-01,3.080330E-01
15:15:00,7.873677E+03,3.915096E+03,2.573589E-01,3.147134E-01
15:30:00,7.883730E+03,3.992052E+03,2.576875E-01,3.208994E-01
15:45:00,7.893687E+03,4.060276E+03,2.580130E-01,3.263836E-01
16:00:00,7.903560E+03,4.117326E+03,2.583357E-01,3.309695E-01
16:15:00,7.913113E+03,4.162483E+03,2.586479E-01,3.345993E-01
16:30:00,7.922561E+03,4.193780E+03,2.589567E-01,3.371151E-01
16:45:00,7.931924E+03,4.210019E+03,2.592628E-01,3.384203E-01
17:00:00,7.941214E+03,4.212566E+03,2.595664E-01,3.386251E-01
17:15:00,7.950214E+03,4.204280E+03,2.598606E-01,3.379589E-01
17:30:00,7.959120E+03,4.192633E+03,2.601517E-01,3.370227E-01
17:45:00,7.967951E+03,4.183663E+03,2.604403E-01,3.363016E-01
18:00:00,7.976570E+03,4.172910E+03,2.607221E-01,3.354373E-01
18:15:00,7.984946E+03,4.146235E+03,2.609958E-01,3.332931E-01
18:30:00,7.993271E+03,4.099768E+03,2.612680E-01,3.295578E-01
18:45:00,8.001542E+03,4.032889E+03,2.615383E-01,3.241818E-01
19:00:00,8.009771E+03,3.950320E+03,2.618073E-01,3.175445E-01
19:15:00,8.017768E+03,3.853664E+03,2.620686E-01,3.097748E-01
19:30:00,8.025694E+03,3.736469E+03,2.623277E-01,3.003542E-01
19:45:00,8.033564E+03,3.577957E+03,2.625850E-01,2.876123E-01
20:00:00,8.041393E+03,3.364131E+03,2.628408E-01,2.704239E-01
20:15:00,8.049002E+03,3.095450E+03,2.630896E-01,2.488260E-01
20:30:00,8.056545E+03,2.799070E+03,2.633361E-01,2.250016E-01
20:45:00,8.063887E+03,2.499955E+03,2.635761E-01,2.009573E-01
21:00:00,8.071195E+03,2.219073E+03,2.638150E-01,1.783787E-01
21:15:00,8.078334E+03,1.971297E+03,2.640483E-01,1.584612E-01
21:30:00,8.085426E+03,1.745640E+03,2.642801E-01,1.403219E-01
21:45:00,8.092485E+03,1.542620E+03,2.645108E-01,1.240023E-01
22:00:00,8.099514E+03,1.362086E+03,2.647406E-01,1.094901E-01
22:15:00,8.106350E+03,1.203410E+03,2.649640E-01,9.673505E-02
22:30:00,8.113134E+03,1.064379E+03,2.651858E-01,8.555921E-02
22:45:00,8.119882E+03,9.432296E+02,2.654063E-01,7.582067E-02
23:00:00,8.126599E+03,8.393403E+02,2.656259E-01,6.746960E-02
23:15:00,8.133120E+03,7.493780E+02,2.658390E-01,6.023807E-02
23:30:00,8.139436E+03,6.677113E+02,2.660455E-01,5.367336E-02
23:45:00,8.145725E+03,5.915823E+02,2.662510E-01,4.755378E-02
24:00:00,8.152017E+03,5.187894E+02,2.664567E-01,4.170238E-02
Peak,8.152017E+03,4.212566E+03,2.664567E-01,3.386251E-01

Peak Vol Flow (m3/s),,,2.530116E-01,3.215386E-01
