Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly) 
January,0.0,31956164.38356158,14357900.89217972,648752528.1121693,0.0,695984593.3879103 
January,0.0,31956164.38356158,14357900.89217972,578351362.5161744,0.0,625583427.7919159 
July,0.0,103805315.74356179,543683.4624000009,0.0,0.0,105225525.41758438 
July,0.0,103805315.74356179,543683.4624000009,0.0,0.0,105225336.6864888 
January,0.0,31956164.38356158,14357900.89217972,648974696.8367922,0.0,696206762.1125336 
January,0.0,31956164.38356158,14357900.89217972,578351195.0852845,0.0,625583260.3610255 
July,0.0,103805315.74356179,543683.4624000009,0.0,0.0,105225525.41758438 
July,0.0,103805315.74356179,543683.4624000009,0.0,0.0,105225336.6864888 
January,0.0,990641095.890461,249020883.03912098,8142500504.634761,0.0,9410313598.341357 
February,0.0,894772602.739769,232312367.56548856,6747454588.300676,0.0,7899734022.593634 
March,0.0,990641095.890461,218925945.35672713,5493628691.488051,0.0,6730894015.942217 
April,0.0,958684931.506897,97987562.57253538,2224791607.8654534,0.0,3308108722.6431167 
May,0.0,990641095.890461,81654394.94232926,1343451748.1193157,37213340.65268201,2480315690.629957 
June,0.0,958684931.506897,35553052.8880632,71066942.42213194,423938986.2874543,1515608949.759573 
July,0.0,990641095.890461,41930974.61240927,248074.60205175135,729193325.7564683,1789268125.3197547 
August,0.0,990641095.890461,45910172.87040394,3294596.11352757,798275529.5052689,1865517527.7617448 
September,0.0,958684931.506897,37705645.77700236,291904876.7238283,319888207.71898189,1634894678.7967523 
October,0.0,990641095.890461,75930172.14066343,1438970497.8623312,1354681.0324101179,2534732456.352246 
November,0.0,958684931.506897,192342700.28480906,4436203966.610199,0.0,5614399101.5146479 
December,0.0,990641095.890461,315789989.2057836,8844860573.76417,0.0,10179518317.247376 
