Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,31956164.38356158,8436378.659904924,0.0,0.0,41320558.23339691,803708406.4717472 
January,0.0,31956164.38356158,7821512.699118526,0.0,0.0,40705692.28147325,731650606.4290544 
July,0.0,103805315.74356179,5599272.848935017,0.0,57393645.45056003,167682772.44039534,4938879.952844536 
July,0.0,103805315.74356179,5019611.516183757,0.0,48310397.965676408,158019674.8868965,4938877.013609396 
January,0.0,31956164.38356158,8438730.493944295,0.0,0.0,41322910.067436467,803984024.2659495 
January,0.0,31956164.38356158,7821510.940180363,0.0,0.0,40705690.52253508,731650400.2943196 
July,0.0,103805315.74356179,5599272.8459310079,0.0,57393645.407958228,167682772.39478947,4938879.952844766 
July,0.0,103805315.74356179,5019611.516194891,0.0,48310397.965832639,158019674.88706399,4938877.013609395 
January,392525124.40407267,5315700039.692044,134990751.42080436,0.0,0.0,5924823235.973377,9937958679.737175 
February,354538822.04238906,4801277455.205701,94148023.18622974,0.0,3544476.0268061386,5327087240.448846,5687604445.301569 
March,392525124.40407267,5315700039.692044,83094830.5365129,0.0,434821.16113212137,5873021099.000741,3851703063.2543447 
April,379863023.6168448,5144225844.863263,65710747.1633095,0.0,121768312.91290492,5790052549.254569,915592916.8299607 
May,392525124.40407267,5315700039.692044,89078125.77707027,0.0,466714242.0950434,6344940642.993387,503357638.6376439 
June,379863023.6168448,5144225844.863263,146671147.04803283,0.0,1353096610.9624258,7102061663.145626,42480114.47614768 
July,392525124.40407267,5315700039.692044,201497190.85477618,0.0,2144310143.0902158,8134855152.499499,43189840.07163056 
August,392525124.40407267,5315700039.692044,181617955.04713068,0.0,1839078680.6097,7809885933.135065,43189840.07163056 
September,379863023.6168448,5144225844.863263,123374562.25866126,0.0,1036030271.675496,6762044719.484309,53885146.32424235 
October,392525124.40407267,5315700039.692044,68273932.32893516,0.0,196576255.31836806,6054479361.169839,372940928.1915589 
November,379863023.6168448,5144225844.863263,73091163.48914603,0.0,4899269.198409439,5681086804.28042,2829403130.066213 
December,392525124.40407267,5315700039.692044,114601773.32031793,0.0,0.0,5904621595.803421,7548118276.726698 
