Time,WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,6.743164E+03,4.420237E+02,2.204269E-01,3.553189E-02
00:30:00,6.311751E+03,3.316989E+02,2.063245E-01,2.666342E-02
00:45:00,5.888053E+03,2.203912E+02,1.924743E-01,1.771597E-02
01:00:00,5.470941E+03,1.075408E+02,1.788393E-01,8.644535E-03
01:15:00,5.537067E+03,5.286405E+01,1.810009E-01,4.249403E-03
01:30:00,5.601897E+03,1.708106E+01,1.831201E-01,1.373034E-03
01:45:00,5.666499E+03,0.000000E+00,1.852319E-01,0.000000E+00
02:00:00,5.730948E+03,0.000000E+00,1.873387E-01,0.000000E+00
02:15:00,5.783853E+03,0.000000E+00,1.890681E-01,0.000000E+00
02:30:00,5.834994E+03,0.000000E+00,1.907398E-01,0.000000E+00
02:45:00,5.884866E+03,0.000000E+00,1.923701E-01,0.000000E+00
03:00:00,5.933654E+03,0.000000E+00,1.939649E-01,0.000000E+00
03:15:00,5.976289E+03,0.000000E+00,1.953586E-01,0.000000E+00
03:30:00,6.017345E+03,0.000000E+00,1.967007E-01,0.000000E+00
03:45:00,6.056991E+03,0.000000E+00,1.979967E-01,0.000000E+00
04:00:00,6.095439E+03,0.000000E+00,1.992535E-01,0.000000E+00
04:15:00,6.129980E+03,0.000000E+00,2.003826E-01,0.000000E+00
04:30:00,6.163158E+03,0.000000E+00,2.014671E-01,0.000000E+00
04:45:00,6.195375E+03,0.000000E+00,2.025203E-01,0.000000E+00
05:00:00,6.226777E+03,0.000000E+00,2.035468E-01,0.000000E+00
05:15:00,6.255384E+03,0.000000E+00,2.044819E-01,0.000000E+00
05:30:00,6.283066E+03,0.000000E+00,2.053868E-01,0.000000E+00
05:45:00,6.309987E+03,0.000000E+00,2.062668E-01,0.000000E+00
06:00:00,6.336242E+03,0.000000E+00,2.071251E-01,0.000000E+00
06:15:00,6.360425E+03,0.000000E+00,2.079156E-01,0.000000E+00
06:30:00,6.383918E+03,0.000000E+00,2.086836E-01,0.000000E+00
06:45:00,6.406861E+03,5.948771E+01,2.094335E-01,4.796568E-03
07:00:00,6.429304E+03,1.572941E+02,2.101672E-01,1.265910E-02
07:15:00,6.450339E+03,3.103550E+02,2.108548E-01,2.496351E-02
07:30:00,6.470834E+03,5.115826E+02,2.115248E-01,4.114064E-02
07:45:00,6.490881E+03,6.926895E+02,2.121801E-01,5.568663E-02
08:00:00,6.510538E+03,8.690166E+02,2.128226E-01,6.986348E-02
08:15:00,6.529084E+03,1.026314E+03,2.134289E-01,8.251107E-02
08:30:00,6.547208E+03,1.170055E+03,2.140214E-01,9.406907E-02
08:45:00,6.564982E+03,1.311707E+03,2.146024E-01,1.054582E-01
09:00:00,6.582451E+03,1.459205E+03,2.151734E-01,1.173167E-01
09:15:00,6.599025E+03,1.613544E+03,2.157152E-01,1.297242E-01
09:30:00,6.615264E+03,1.773897E+03,2.162460E-01,1.426140E-01
09:45:00,6.631227E+03,1.936113E+03,2.167678E-01,1.556532E-01
10:00:00,6.646948E+03,2.095760E+03,2.172818E-01,1.684855E-01
10:15:00,6.661933E+03,2.245796E+03,2.177716E-01,1.805448E-01
10:30:00,6.676648E+03,2.386535E+03,2.182526E-01,1.918566E-01
10:45:00,6.691140E+03,2.516595E+03,2.187264E-01,2.023096E-01
11:00:00,6.705440E+03,2.635114E+03,2.191938E-01,2.118349E-01
11:15:00,6.719120E+03,2.740005E+03,2.196410E-01,2.202649E-01
11:30:00,6.732579E+03,2.830564E+03,2.200809E-01,2.275428E-01
11:45:00,6.745856E+03,2.910163E+03,2.205149E-01,2.339399E-01
12:00:00,6.758975E+03,2.977834E+03,2.209438E-01,2.393785E-01
12:15:00,6.771565E+03,3.038462E+03,2.213554E-01,2.442512E-01
12:30:00,6.783971E+03,3.094916E+03,2.217609E-01,2.487886E-01
12:45:00,6.796225E+03,3.145160E+03,2.221615E-01,2.528270E-01
13:00:00,6.808348E+03,3.193546E+03,2.225577E-01,2.567161E-01
13:15:00,6.820012E+03,3.246024E+03,2.229390E-01,2.609343E-01
13:30:00,6.831519E+03,3.300536E+03,2.233152E-01,2.653161E-01
13:45:00,6.842898E+03,3.361995E+03,2.236871E-01,2.702564E-01
