Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,31956164.38356158,7034084.989719529,0.0,0.0,39908249.37328117,717009491.8107824 
January,0.0,31956164.38356158,6396433.197807994,0.0,0.0,39270597.58136964,646566640.8798715 
July,0.0,103805315.74356179,543683.4624000009,0.0,0.0,105225525.41758438,0.0 
July,0.0,103805315.74356179,543683.4624000009,0.0,0.0,105225336.6864888,0.0 
January,0.0,31956164.38356158,7036570.782060012,0.0,0.0,39910735.165621649,717284102.9724023 
January,0.0,31956164.38356158,6396431.3246233039,0.0,0.0,39270595.708184938,646566433.9448772 
July,0.0,103805315.74356179,543683.4624000009,0.0,0.0,105225525.41758438,0.0 
July,0.0,103805315.74356179,543683.4624000009,0.0,0.0,105225336.6864888,0.0 
January,0.0,990641095.890461,108897580.08952318,0.0,0.0,1127689790.7570148,10168243980.915432 
February,0.0,894772602.739769,91653602.04531996,0.0,0.0,1011620668.7728043,8443448176.232963 
March,0.0,990641095.890461,79692239.9297396,0.0,0.0,1098031619.0271815,6941863298.921569 
April,0.0,958684931.506897,44069512.25707517,0.0,0.0,1029399064.462194,3066601104.9664947 
May,0.0,990641095.890461,34984808.459282677,0.0,45604677.212909709,1098585692.587823,1664948385.8184243 
June,0.0,958684931.506897,48727346.596023518,0.0,464398955.6688932,1498176270.4268442,68772460.7173247 
July,0.0,990641095.890461,68713809.11036347,0.0,766699450.7668263,1853309010.2260109,1427411.2473410208 
August,0.0,990641095.890461,74813449.4303937,0.0,851225495.6645422,1944076174.367474,2213928.659898084 
September,0.0,958684931.506897,42534074.992158297,0.0,345140596.4424623,1373070620.011575,323371051.284789 
October,0.0,990641095.890461,35103805.90924748,0.0,2044859.4473876144,1055625770.6735188,2000479716.4575566 
November,0.0,958684931.506897,69224658.55358707,0.0,0.0,1055077093.1732261,5845547613.370951 
December,0.0,990641095.890461,115139255.41781987,0.0,0.0,1134007009.69526,10857776121.00759 
