Time,WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,6.537833E+03,5.436234E+02,2.137221E-01,4.370115E-02
00:30:00,6.107858E+03,4.346283E+02,1.996662E-01,3.493898E-02
00:45:00,5.685531E+03,3.254605E+02,1.858602E-01,2.616297E-02
01:00:00,5.269754E+03,2.148979E+02,1.722685E-01,1.727491E-02
01:15:00,5.335585E+03,1.435983E+02,1.744204E-01,1.154329E-02
01:30:00,5.400098E+03,8.085278E+01,1.765294E-01,6.499385E-03
01:45:00,5.464415E+03,3.632376E+01,1.786320E-01,2.919880E-03
02:00:00,5.528582E+03,9.743893E+00,1.807297E-01,7.832552E-04
02:15:00,5.581256E+03,0.000000E+00,1.824517E-01,0.000000E+00
02:30:00,5.632186E+03,0.000000E+00,1.841166E-01,0.000000E+00
02:45:00,5.681857E+03,0.000000E+00,1.857404E-01,0.000000E+00
03:00:00,5.730456E+03,0.000000E+00,1.873291E-01,0.000000E+00
03:15:00,5.772930E+03,0.000000E+00,1.887176E-01,0.000000E+00
03:30:00,5.813838E+03,0.000000E+00,1.900548E-01,0.000000E+00
03:45:00,5.853345E+03,0.000000E+00,1.913463E-01,0.000000E+00
04:00:00,5.891662E+03,0.000000E+00,1.925989E-01,0.000000E+00
04:15:00,5.926090E+03,0.000000E+00,1.937243E-01,0.000000E+00
04:30:00,5.959163E+03,0.000000E+00,1.948055E-01,0.000000E+00
04:45:00,5.991282E+03,0.000000E+00,1.958554E-01,0.000000E+00
05:00:00,6.022589E+03,0.000000E+00,1.968788E-01,0.000000E+00
05:15:00,6.051113E+03,0.000000E+00,1.978113E-01,0.000000E+00
05:30:00,6.078717E+03,0.000000E+00,1.987137E-01,0.000000E+00
05:45:00,6.105563E+03,0.000000E+00,1.995913E-01,0.000000E+00
06:00:00,6.131745E+03,0.000000E+00,2.004471E-01,0.000000E+00
06:15:00,6.155857E+03,0.000000E+00,2.012354E-01,0.000000E+00
06:30:00,6.179283E+03,6.691108E+01,2.020011E-01,5.388657E-03
06:45:00,6.202159E+03,1.655545E+02,2.027490E-01,1.331912E-02
07:00:00,6.224538E+03,3.135541E+02,2.034805E-01,2.521825E-02
07:15:00,6.245514E+03,5.179237E+02,2.041662E-01,4.165121E-02
