Time,WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,6.735626E+03,4.431986E+02,2.201807E-01,3.562634E-02
00:30:00,6.304216E+03,3.329309E+02,2.060784E-01,2.676246E-02
00:45:00,5.880520E+03,2.216786E+02,1.922282E-01,1.781946E-02
01:00:00,5.463410E+03,1.085241E+02,1.785933E-01,8.723579E-03
01:15:00,5.529535E+03,5.353475E+01,1.807548E-01,4.303317E-03
01:30:00,5.594365E+03,1.742402E+01,1.828741E-01,1.400603E-03
01:45:00,5.658967E+03,0.000000E+00,1.849858E-01,0.000000E+00
02:00:00,5.723415E+03,0.000000E+00,1.870926E-01,0.000000E+00
02:15:00,5.776319E+03,0.000000E+00,1.888220E-01,0.000000E+00
02:30:00,5.827460E+03,0.000000E+00,1.904937E-01,0.000000E+00
02:45:00,5.877332E+03,0.000000E+00,1.921239E-01,0.000000E+00
03:00:00,5.926119E+03,0.000000E+00,1.937188E-01,0.000000E+00
03:15:00,5.968755E+03,0.000000E+00,1.951125E-01,0.000000E+00
03:30:00,6.009810E+03,0.000000E+00,1.964545E-01,0.000000E+00
03:45:00,6.049456E+03,0.000000E+00,1.977505E-01,0.000000E+00
04:00:00,6.087904E+03,0.000000E+00,1.990073E-01,0.000000E+00
04:15:00,6.122445E+03,0.000000E+00,2.001364E-01,0.000000E+00
04:30:00,6.155622E+03,0.000000E+00,2.012210E-01,0.000000E+00
04:45:00,6.187839E+03,0.000000E+00,2.022741E-01,0.000000E+00
05:00:00,6.219241E+03,0.000000E+00,2.033006E-01,0.000000E+00
05:15:00,6.247848E+03,0.000000E+00,2.042357E-01,0.000000E+00
05:30:00,6.275530E+03,0.000000E+00,2.051406E-01,0.000000E+00
05:45:00,6.302451E+03,0.000000E+00,2.060207E-01,0.000000E+00
06:00:00,6.328705E+03,0.000000E+00,2.068789E-01,0.000000E+00
06:15:00,6.352888E+03,0.000000E+00,2.076694E-01,0.000000E+00
06:30:00,6.376381E+03,0.000000E+00,2.084374E-01,0.000000E+00
06:45:00,6.399324E+03,6.076685E+01,2.091873E-01,4.898758E-03
07:00:00,6.421768E+03,1.589432E+02,2.099210E-01,1.279103E-02
07:15:00,6.442802E+03,3.128079E+02,2.106086E-01,2.516008E-02
