Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,3550684.931506854,11316507.395290662,0.0,0.0,15795207.534451079,1322337296.1092246 
January,0.0,3550684.931506854,10058540.970342845,0.0,0.0,14537241.10884894,1164667305.7272695 
July,0.0,75399836.29150689,4588230.421161862,0.0,54433589.04725139,135306194.1575517,4938880.133459065 
July,0.0,75399836.29150689,3882805.3517980605,0.0,43683957.30954021,123851616.30430535,5350455.177280827 
January,0.0,3550684.931506854,11318702.262272306,0.0,0.0,15797402.401432004,1322612394.5916539 
January,0.0,3550684.931506854,10058539.319239343,0.0,0.0,14537239.457745444,1164667098.7825795 
July,0.0,75399836.29150689,4588230.418168992,0.0,54433589.00478807,135306194.11209549,4938880.133459372 
July,0.0,75399836.29150689,3882805.351815515,0.0,43683957.3097864,123851616.30456896,5350455.1772808 
January,392525124.40407267,1507523148.62302,198670863.47194366,0.0,0.0,2180330142.771968,21775755808.75852 
February,354538822.04238906,1361633811.659498,128925048.7773844,0.0,0.0,1918676146.4670237,13336076810.535029 
March,392525124.40407267,1507523148.62302,112988800.2137797,0.0,0.0,2094303356.4478973,11036204757.625658 
April,379863023.6168448,1458893369.6351794,63691360.631637509,0.0,21530.8013166752,1980953905.3832429,4958015134.322569 
May,392525124.40407267,1507523148.62302,54199893.39298711,0.0,59171439.13296769,2094342716.5782517,3122835833.982314 
June,379863023.6168448,1458893369.6351794,61258601.814058478,0.0,488852965.7762844,2467072997.4974524,289576295.50034889 
July,392525124.40407267,1507523148.62302,108329157.61572135,0.0,1189332586.8249036,3278532671.926155,43189840.07163056 
August,392525124.40407267,1507523148.62302,90456469.94636828,0.0,916329392.3998456,2987798268.7554547,88927161.12095475 
September,379863023.6168448,1458893369.6351794,58298054.218928288,0.0,374833972.6310593,2350439437.1721208,995213406.1991384 
October,392525124.40407267,1507523148.62302,53045438.495177488,0.0,2100345.6939192388,2036598066.642645,3502854798.7606709 
November,379863023.6168448,1458893369.6351794,97732805.97249975,0.0,0.0,2015496702.337316,9224883573.178648 
December,392525124.40407267,1507523148.62302,159599780.86162675,0.0,0.0,2141442712.2757543,16878294582.832709 
