Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WINDOWFRACTION2:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),WHOLEHOUSE_TB SCHEDULE:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 01/21  01:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526468695755,0.0,19.83643950476417,2.2806561943862428,500.00000000000036,615371.9119658633,0.0,21.46865620580832,17.935189478094004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.63435394475576,3600.0 
 01/21  02:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526468695755,0.0,19.8370637868896,2.2805678742625039,500.0000000000002,625689.0894263868,0.0,21.415138902432653,17.93587388229542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.636983053111539,3600.0 
 01/21  03:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526468695755,0.0,19.837428892780875,2.2805162478041556,500.0000000000002,632499.1961508927,0.0,21.373132396888417,17.93627415075163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.63735036636573,3600.0 
 01/21  04:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526291708864,0.0,19.837710930651967,2.280476323036187,500.0000000000003,639185.7622824293,0.0,21.33962376875258,17.936583349929778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.6376527078222,3600.0 
 01/21  05:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.83789448382684,2.2804504264069807,500.00000000000019,644062.8946396652,0.0,21.31247537444847,17.936784582232375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.63785756163765,3600.0 
 01/21  06:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.837951314673697,2.280442334352187,500.00000000000036,647421.8306430326,0.0,21.290315369536154,17.936846884871377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.63794413819623,3600.0 
 01/21  07:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838061606408613,2.280426755903819,500.00000000000036,651559.2304640319,0.0,21.27067272921856,17.93696779900919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.63803799657627,3600.0 
 01/21  08:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838219353941576,2.2804044669738046,500.00000000000036,654579.9269736371,0.0,21.252782289239197,17.93714073930672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.63818288747798,3600.0 
 01/21  09:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838338661686298,2.2803875734350029,500.00000000000036,652939.3750238242,0.0,21.236953289052829,17.937271536716847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.638311794157988,0.0 
 01/21  10:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838430776627005,2.2803745240427997,500.0000000000003,656026.5300630177,0.0,21.2227089688333,17.937372522417485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.638410009521198,0.0 
 01/21  11:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838503184666214,2.2803642734192675,500.0000000000002,658173.7000206222,0.0,21.20973312511584,17.937451903605447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.63848686979495,0.0 
 01/21  12:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838560450886165,2.280356214579411,500.00000000000019,659499.273441619,0.0,21.19779854940372,17.937514686022128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.63854758080037,0.0 
 01/21  13:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838605602964,2.28034984171224,500.0000000000003,662002.1880411276,0.0,21.186736791157018,17.937564186905118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.638595510792317,0.0 
 01/21  14:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838640715788164,2.2803448513343778,500.00000000000036,663674.8571991965,0.0,21.176419977232194,17.93760268070738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.63863294604127,0.0 
 01/21  15:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.8386672147667,2.280341074844495,500.0000000000003,664603.6164384716,0.0,21.166748931042777,17.937631730975427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.638661455305228,0.0 
 01/21  16:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838686054627254,2.280338478521423,500.00000000000019,666759.8130807709,0.0,21.157645179195,17.937652387029155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.63868209842094,0.0 
 01/21  17:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838697822639593,2.2803367588887855,500.00000000000019,667456.908365648,0.0,21.149045491443247,17.937665286941205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.638695547039507,0.0 
 01/21  18:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838702768191156,2.280336084544585,500.0000000000003,673055.6955325194,0.0,21.140898134682133,17.937670709440054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.638702128618067,3600.0 
 01/21  19:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838700780165149,2.2803363543307588,500.0000000000003,674298.0662593928,0.0,21.133196641121147,17.93766852965586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.638701819141598,3600.0 
 01/21  20:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838689470427583,2.280337939163273,500.0000000000002,674760.8828384561,0.0,21.125893005552308,17.937656130326276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.638692657358529,3600.0 
 01/21  21:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838669504193509,2.2803407716051269,500.00000000000019,676549.1700157628,0.0,21.11896648481877,17.93763424142699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.638675470224047,3600.0 
 01/21  22:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.83863697661258,2.2803453911748865,500.0000000000003,677600.4058069793,0.0,21.112345030276879,17.937598581710078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.63864544285559,3600.0 
 01/21  23:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.83858494501663,2.2803527420342197,500.0000000000003,677896.2820128726,0.0,21.106000778144506,17.937541538893635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.63859839502854,3600.0 
 01/21  24:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-26.800526114721973,0.0,19.838470854678755,2.280368860075201,500.00000000000019,679540.9277648574,0.0,21.100013190308777,17.937416460381934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.63850020181794,3600.0 
 01/21  01:00:00,-22.8,-22.800000124648308,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-22.800666331841783,0.0,19.837488252012024,3.398417880061841,500.0000000000002,563315.417275164,0.0,21.600240067437768,17.96552909963707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-42.63535148824079,3600.0 
 01/21  02:00:00,-22.8,-22.800000124648308,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-22.800666331841783,0.0,19.838155201494819,3.3982773829953478,500.00000000000019,573555.0260694649,0.0,21.546166588503938,17.966259075533619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-42.63805896874448,3600.0 
 01/21  03:00:00,-22.8,-22.800000124648308,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-22.800666331841783,0.0,19.83857816595718,3.3981882461429024,500.00000000000036,580317.8841449606,0.0,21.503612786095358,17.96672200897997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-42.63848635605457,3600.0 
 01/21  04:00:00,-22.8,-22.800000124648308,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-22.800666331841783,0.0,19.838907623308545,3.3981188070689098,500.0000000000003,586976.485896406,0.0,21.46961448851769,17.967082598935094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-42.638838652914909,3600.0 
 01/21  05:00:00,-22.8,-22.800000124648308,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-22.800666331841783,0.0,19.839130285930243,3.398071878950505,500.00000000000019,591834.4910735267,0.0,21.442050636247328,17.967326302473646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-42.63908437364585,3600.0 
 01/21  06:00:00,-22.8,-22.800000124648308,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-22.800666331841783,0.0,19.839233411213944,3.398050124207913,500.00000000000019,595178.6041216524,0.0,21.41942928648587,17.96743917224521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-42.639215114233078,3600.0 
 01/21  07:00:00,-22.8,-22.800000124648308,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-22.800666331841783,0.0,19.839332692467978,3.3980292230930115,500.0000000000001,599294.5146182238,0.0,21.3998706424885,17.96754783587332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-42.6393128005513,3600.0 
 01/21  08:00:00,-22.8,-22.800000124648308,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-22.800666331841783,0.0,19.839512150325839,3.3979913385007789,500.0000000000003,602294.390713135,0.0,21.38179243177916,17.967744250308166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-42.639470376363238,3600.0 
 01/21  09:00:00,-22.8,-22.800000124648308,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-22.800666331841783,0.0,19.83964851993701,3.3979626490904897,500.00000000000036,600630.5782398732,0.0,21.365850240676328,17.967893507768076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,-42.63961767658152,0.0 
