Time,WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.200213E+04,1.480057E+02,3.921830E-01,1.189703E-02
00:30:00,1.156523E+04,7.663782E+01,3.779081E-01,6.160325E-03
00:45:00,1.113634E+04,2.666386E+01,3.638949E-01,2.143305E-03
01:00:00,1.071414E+04,0.000000E+00,3.500999E-01,0.000000E+00
01:15:00,1.078123E+04,0.000000E+00,3.522939E-01,0.000000E+00
01:30:00,1.084724E+04,0.000000E+00,3.544497E-01,0.000000E+00
01:45:00,1.091282E+04,0.000000E+00,3.565918E-01,0.000000E+00
02:00:00,1.097825E+04,0.000000E+00,3.587293E-01,0.000000E+00
02:15:00,1.103196E+04,0.000000E+00,3.604842E-01,0.000000E+00
02:30:00,1.108384E+04,0.000000E+00,3.621794E-01,0.000000E+00
02:45:00,1.113443E+04,0.000000E+00,3.638323E-01,0.000000E+00
03:00:00,1.118373E+04,0.000000E+00,3.654433E-01,0.000000E+00
03:15:00,1.122681E+04,0.000000E+00,3.668509E-01,0.000000E+00
03:30:00,1.126830E+04,0.000000E+00,3.682068E-01,0.000000E+00
03:45:00,1.130837E+04,0.000000E+00,3.695162E-01,0.000000E+00
04:00:00,1.134740E+04,0.000000E+00,3.707915E-01,0.000000E+00
04:15:00,1.138244E+04,0.000000E+00,3.719366E-01,0.000000E+00
04:30:00,1.141607E+04,0.000000E+00,3.730352E-01,0.000000E+00
04:45:00,1.144870E+04,0.000000E+00,3.741017E-01,0.000000E+00
05:00:00,1.148051E+04,0.000000E+00,3.751408E-01,0.000000E+00
05:15:00,1.150947E+04,0.000000E+00,3.760873E-01,0.000000E+00
05:30:00,1.153749E+04,0.000000E+00,3.770028E-01,0.000000E+00
05:45:00,1.156473E+04,0.000000E+00,3.778930E-01,0.000000E+00
06:00:00,1.159130E+04,0.000000E+00,3.787610E-01,0.000000E+00
06:15:00,1.161578E+04,0.000000E+00,3.795610E-01,0.000000E+00
06:30:00,1.163956E+04,0.000000E+00,3.803379E-01,0.000000E+00
