Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,3550684.931506854,10757230.701051509,0.0,0.0,15225915.632558352,1280104208.5293699 
January,0.0,3550684.931506854,9501845.890760139,0.0,0.0,13970530.822266989,1122761872.764151 
July,0.0,75399836.29150689,543683.4624000009,0.0,0.0,76820045.96552962,0.0 
July,0.0,75399836.29150689,543683.4624000009,0.0,0.0,76819857.23443406,0.0 
January,0.0,3550684.931506854,10759426.593103487,0.0,0.0,15228111.524610335,1280379428.3517819 
January,0.0,3550684.931506854,9501844.237804972,0.0,0.0,13970529.169311809,1122761665.5927525 
July,0.0,75399836.29150689,543683.4624000009,0.0,0.0,76820045.96552962,0.0 
July,0.0,75399836.29150689,543683.4624000009,0.0,0.0,76819857.23443406,0.0 
January,0.0,110071232.87670824,154840333.08329747,0.0,0.0,293064041.55151346,17295187386.102575 
February,0.0,99419178.08218834,132113956.1911922,0.0,0.0,256727598.26113645,14650387975.53331 
March,0.0,110071232.87670824,115666247.94008838,0.0,0.0,253435764.02382878,12384505762.711146 
April,0.0,106520547.9452016,65177034.04788641,0.0,0.0,198342202.69135527,6124635199.967855 
May,0.0,110071232.87670824,49312306.052125107,0.0,13959433.508914924,200698083.46295429,3945239916.51454 
June,0.0,106520547.9452016,39608295.40951537,0.0,273241166.98224869,445735046.9920551,537536567.4812594 
July,0.0,110071232.87670824,55256032.567625809,0.0,564350864.5112963,756932784.4140549,14053651.664574324 
August,0.0,110071232.87670824,58668926.71164522,0.0,592152578.2284895,788288871.1989791,112832123.05104919 
September,0.0,106520547.9452016,44098875.114193338,0.0,231466524.87433905,408796965.003851,1500959937.1964653 
October,0.0,110071232.87670824,54712204.0819559,0.0,0.0,192619446.38512153,4744894739.579214 
November,0.0,106520547.9452016,100332387.00457302,0.0,0.0,234020438.06256689,10530794413.86812 
December,0.0,110071232.87670824,161847071.9264947,0.0,0.0,300144963.1902363,18172530800.14733 
