Time,WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.179700E+04,2.257828E+02,3.854902E-01,1.814938E-02
00:30:00,1.136150E+04,1.311495E+02,3.712607E-01,1.054234E-02
00:45:00,1.093397E+04,5.429292E+01,3.572912E-01,4.364284E-03
01:00:00,1.051308E+04,0.000000E+00,3.435388E-01,0.000000E+00
01:15:00,1.057988E+04,0.000000E+00,3.457231E-01,0.000000E+00
01:30:00,1.064559E+04,0.000000E+00,3.478695E-01,0.000000E+00
01:45:00,1.071090E+04,0.000000E+00,3.500028E-01,0.000000E+00
02:00:00,1.077606E+04,0.000000E+00,3.521317E-01,0.000000E+00
02:15:00,1.082956E+04,0.000000E+00,3.538794E-01,0.000000E+00
02:30:00,1.088124E+04,0.000000E+00,3.555681E-01,0.000000E+00
02:45:00,1.093163E+04,0.000000E+00,3.572148E-01,0.000000E+00
03:00:00,1.098092E+04,0.000000E+00,3.588254E-01,0.000000E+00
03:15:00,1.102398E+04,0.000000E+00,3.602327E-01,0.000000E+00
03:30:00,1.106544E+04,0.000000E+00,3.615873E-01,0.000000E+00
03:45:00,1.110546E+04,0.000000E+00,3.628952E-01,0.000000E+00
04:00:00,1.114427E+04,0.000000E+00,3.641635E-01,0.000000E+00
04:15:00,1.117913E+04,0.000000E+00,3.653025E-01,0.000000E+00
04:30:00,1.121260E+04,0.000000E+00,3.663963E-01,0.000000E+00
04:45:00,1.124511E+04,0.000000E+00,3.674584E-01,0.000000E+00
05:00:00,1.127678E+04,0.000000E+00,3.684934E-01,0.000000E+00
05:15:00,1.130564E+04,0.000000E+00,3.694362E-01,0.000000E+00
05:30:00,1.133355E+04,0.000000E+00,3.703484E-01,0.000000E+00
05:45:00,1.136070E+04,0.000000E+00,3.712354E-01,0.000000E+00
06:00:00,1.138717E+04,0.000000E+00,3.721005E-01,0.000000E+00
06:15:00,1.141157E+04,0.000000E+00,3.728977E-01,0.000000E+00
06:30:00,1.143526E+04,0.000000E+00,3.736719E-01,0.000000E+00
06:45:00,1.145840E+04,0.000000E+00,3.744281E-01,0.000000E+00
07:00:00,1.148104E+04,0.000000E+00,3.751678E-01,0.000000E+00
