Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly) 
January,0.0,3550684.931506854,15296455.36185963,702038043.3921734,0.0,727986785.2593987 
January,0.0,3550684.931506854,15296455.36185963,630838231.1138206,0.0,656786972.4605759 
July,0.0,75399836.29150689,2254045.1080918835,0.0,52569705.59169326,136046993.76410369 
July,0.0,75399836.29150689,2110865.82478109,0.0,43805933.786167677,127552092.19303839 
January,0.0,3550684.931506854,15296455.36185963,702260358.4951651,0.0,728209100.3618882 
January,0.0,3550684.931506854,15296455.36185963,630838063.9336157,0.0,656786805.2803719 
July,0.0,75399836.29150689,2254045.1075404647,0.0,52569705.549846779,136046993.7217035 
July,0.0,75399836.29150689,2110865.82478109,0.0,43805933.78685096,127552092.19372179 
January,392525124.40407267,1507523148.62302,346391520.46544608,10760525076.158858,0.0,13132166810.495139 
February,354538822.04238906,1361633811.659498,247414300.38134236,6380059003.729816,0.0,8456234579.930043 
March,392525124.40407267,1507523148.62302,233723885.15217079,5125512647.275761,0.0,7383740928.733717 
April,379863023.6168448,1458893369.6351794,105513321.79553668,1937746986.9531878,2435799.5108559026,4004733741.6340219 
May,392525124.40407267,1507523148.62302,92957928.29493787,1159858430.6488283,87135331.71147824,3364112914.7791488 
June,379863023.6168448,1458893369.6351794,49324480.932459648,42215087.25491436,576132473.3979493,2626430090.916595 
July,392525124.40407267,1507523148.62302,65576287.25933591,0.0,1241727722.2530733,3331364777.0695617 
August,392525124.40407267,1507523148.62302,60982123.22564591,768059.2507541339,992152944.97724,3078105373.934515 
September,379863023.6168448,1458893369.6351794,48227008.60016844,199813019.73850904,418479609.0984498,2625623667.1834084 
October,392525124.40407267,1507523148.62302,81221629.30252132,1160386170.9036697,5931566.711085123,3272181489.442445 
November,379863023.6168448,1458893369.6351794,204582305.2353338,4113399553.306534,0.0,6277542374.33084 
December,392525124.40407267,1507523148.62302,338030258.4055412,8517536553.317833,0.0,10880599583.209128 
