Time,WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,7.943084E+03,2.646878E+02,2.596274E-01,2.127662E-02
00:30:00,7.507180E+03,1.577753E+02,2.453796E-01,1.268258E-02
00:45:00,7.079181E+03,6.942556E+01,2.313902E-01,5.580683E-03
01:00:00,6.657879E+03,1.538221E+00,2.176197E-01,1.236468E-04
01:15:00,6.724933E+03,0.000000E+00,2.198117E-01,0.000000E+00
01:30:00,6.790725E+03,0.000000E+00,2.219619E-01,0.000000E+00
01:45:00,6.856208E+03,0.000000E+00,2.241020E-01,0.000000E+00
02:00:00,6.921521E+03,0.000000E+00,2.262366E-01,0.000000E+00
02:15:00,6.975135E+03,0.000000E+00,2.279890E-01,0.000000E+00
02:30:00,7.026926E+03,0.000000E+00,2.296818E-01,0.000000E+00
02:45:00,7.077413E+03,0.000000E+00,2.313320E-01,0.000000E+00
03:00:00,7.126618E+03,0.000000E+00,2.329403E-01,0.000000E+00
03:15:00,7.169608E+03,0.000000E+00,2.343455E-01,0.000000E+00
03:30:00,7.211018E+03,0.000000E+00,2.356990E-01,0.000000E+00
03:45:00,7.251006E+03,0.000000E+00,2.370061E-01,0.000000E+00
04:00:00,7.289952E+03,0.000000E+00,2.382791E-01,0.000000E+00
04:15:00,7.324920E+03,0.000000E+00,2.394221E-01,0.000000E+00
04:30:00,7.358469E+03,0.000000E+00,2.405187E-01,0.000000E+00
04:45:00,7.391034E+03,0.000000E+00,2.415831E-01,0.000000E+00
05:00:00,7.422766E+03,0.000000E+00,2.426203E-01,0.000000E+00
05:15:00,7.451666E+03,0.000000E+00,2.435650E-01,0.000000E+00
05:30:00,7.479622E+03,0.000000E+00,2.444787E-01,0.000000E+00
05:45:00,7.506803E+03,0.000000E+00,2.453672E-01,0.000000E+00
06:00:00,7.533308E+03,0.000000E+00,2.462335E-01,0.000000E+00
06:15:00,7.557733E+03,0.000000E+00,2.470319E-01,0.000000E+00
06:30:00,7.581455E+03,0.000000E+00,2.478073E-01,0.000000E+00
06:45:00,7.604620E+03,0.000000E+00,2.485645E-01,0.000000E+00
07:00:00,7.627279E+03,0.000000E+00,2.493051E-01,0.000000E+00
07:15:00,7.648510E+03,3.360904E+01,2.499991E-01,2.723734E-03
07:30:00,7.669195E+03,1.310245E+02,2.506752E-01,1.055470E-02
07:45:00,7.689427E+03,2.643520E+02,2.513365E-01,2.127239E-02
08:00:00,7.709265E+03,4.464445E+02,2.519850E-01,3.591034E-02
08:15:00,7.727979E+03,6.454045E+02,2.525966E-01,5.188258E-02
08:30:00,7.746266E+03,8.210112E+02,2.531944E-01,6.599996E-02
08:45:00,7.764200E+03,9.979543E+02,2.537806E-01,8.022527E-02
09:00:00,7.781827E+03,1.157809E+03,2.543567E-01,9.307703E-02
09:15:00,7.798548E+03,1.308651E+03,2.549033E-01,1.052042E-01
09:30:00,7.814932E+03,1.460472E+03,2.554388E-01,1.174094E-01
09:45:00,7.831037E+03,1.615902E+03,2.559652E-01,1.299041E-01
10:00:00,7.846899E+03,1.779183E+03,2.564837E-01,1.430295E-01
10:15:00,7.862016E+03,1.939006E+03,2.569778E-01,1.558764E-01
10:30:00,7.876861E+03,2.091498E+03,2.574630E-01,1.681337E-01
10:45:00,7.891482E+03,2.233107E+03,2.579410E-01,1.795161E-01
11:00:00,7.905909E+03,2.361782E+03,2.584125E-01,1.898586E-01
11:15:00,7.919710E+03,2.474108E+03,2.588636E-01,1.988868E-01
11:30:00,7.933288E+03,2.571191E+03,2.593074E-01,2.066896E-01
11:45:00,7.946683E+03,2.657780E+03,2.597452E-01,2.136490E-01
12:00:00,7.959919E+03,2.733020E+03,2.601779E-01,2.196962E-01
12:15:00,7.972620E+03,2.801190E+03,2.605930E-01,2.251753E-01
12:30:00,7.985136E+03,2.865042E+03,2.610021E-01,2.303073E-01
12:45:00,7.997499E+03,2.922379E+03,2.614062E-01,2.349158E-01
13:00:00,8.009729E+03,2.977582E+03,2.618060E-01,2.393529E-01
13:15:00,8.021497E+03,3.036377E+03,2.621906E-01,2.440789E-01
13:30:00,8.033106E+03,3.096664E+03,2.625701E-01,2.489248E-01
13:45:00,8.044585E+03,3.163282E+03,2.629453E-01,2.542797E-01
14:00:00,8.055953E+03,3.239037E+03,2.633169E-01,2.603691E-01
14:15:00,8.066914E+03,3.320225E+03,2.636751E-01,2.668953E-01
14:30:00,8.077738E+03,3.407444E+03,2.640289E-01,2.739063E-01
14:45:00,8.088452E+03,3.496781E+03,2.643791E-01,2.810876E-01
15:00:00,8.099068E+03,3.584278E+03,2.647261E-01,2.881210E-01
15:15:00,8.109324E+03,3.668332E+03,2.650613E-01,2.948776E-01
15:30:00,8.119460E+03,3.746204E+03,2.653927E-01,3.011372E-01
15:45:00,8.129499E+03,3.815364E+03,2.657208E-01,3.066965E-01
16:00:00,8.139454E+03,3.873408E+03,2.660462E-01,3.113624E-01
16:15:00,8.149086E+03,3.919643E+03,2.663610E-01,3.150789E-01
16:30:00,8.158611E+03,3.952114E+03,2.666723E-01,3.176889E-01
16:45:00,8.168051E+03,3.969630E+03,2.669809E-01,3.190969E-01
17:00:00,8.177417E+03,3.973547E+03,2.672870E-01,3.194117E-01
17:15:00,8.186490E+03,3.966617E+03,2.675836E-01,3.188546E-01
17:30:00,8.195469E+03,3.956263E+03,2.678771E-01,3.180223E-01
17:45:00,8.204371E+03,3.948482E+03,2.681681E-01,3.173968E-01
18:00:00,8.213061E+03,3.938865E+03,2.684521E-01,3.166237E-01
18:15:00,8.221503E+03,3.913307E+03,2.687280E-01,3.145693E-01
18:30:00,8.229896E+03,3.868116E+03,2.690023E-01,3.109367E-01
18:45:00,8.238233E+03,3.802622E+03,2.692749E-01,3.056719E-01
19:00:00,8.246528E+03,3.721489E+03,2.695460E-01,2.991501E-01
19:15:00,8.254587E+03,3.626327E+03,2.698094E-01,2.915005E-01
19:30:00,8.262576E+03,3.510832E+03,2.700705E-01,2.822165E-01
19:45:00,8.270508E+03,3.354557E+03,2.703298E-01,2.696544E-01
20:00:00,8.278397E+03,3.143928E+03,2.705877E-01,2.527230E-01
20:15:00,8.286064E+03,2.879429E+03,2.708383E-01,2.314613E-01
20:30:00,8.293663E+03,2.587937E+03,2.710866E-01,2.080297E-01
20:45:00,8.301059E+03,2.294160E+03,2.713284E-01,1.844146E-01
21:00:00,8.308423E+03,2.018732E+03,2.715691E-01,1.622743E-01
21:15:00,8.315609E+03,1.776456E+03,2.718040E-01,1.427991E-01
21:30:00,8.322749E+03,1.556558E+03,2.720373E-01,1.251227E-01
21:45:00,8.329855E+03,1.359657E+03,2.722696E-01,1.092949E-01
22:00:00,8.336931E+03,1.185715E+03,2.725009E-01,9.531266E-02
22:15:00,8.343795E+03,1.034473E+03,2.727252E-01,8.315521E-02
22:30:00,8.350606E+03,9.042544E+02,2.729479E-01,7.268765E-02
22:45:00,8.357382E+03,7.946782E+02,2.731693E-01,6.387945E-02
23:00:00,8.364126E+03,6.993099E+02,2.733897E-01,5.621336E-02
23:15:00,8.370717E+03,6.138935E+02,2.736052E-01,4.934724E-02
23:30:00,8.377102E+03,5.373397E+02,2.738139E-01,4.319352E-02
23:45:00,8.383459E+03,4.616274E+02,2.740217E-01,3.710745E-02
24:00:00,8.389820E+03,3.860712E+02,2.742296E-01,3.103391E-02
Peak,8.389820E+03,3.973547E+03,2.742296E-01,3.194117E-01

Peak Vol Flow (m3/s),,,2.603924E-01,3.032947E-01
