Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly) 
January,0.0,3550684.931506854,14668038.477443206,672644756.282331,0.0,691781479.6912807 
January,0.0,3550684.931506854,14668038.477443206,601779771.2800535,0.0,620916494.6890034 
July,0.0,75399836.29150689,543683.4624000009,0.0,0.0,76820045.96552962 
July,0.0,75399836.29150689,543683.4624000009,0.0,0.0,76819857.23443406 
January,0.0,3550684.931506854,14668038.477443206,672867184.9954382,0.0,692003908.4043889 
January,0.0,3550684.931506854,14668038.477443206,601779603.9125444,0.0,620916327.3214945 
July,0.0,75399836.29150689,543683.4624000009,0.0,0.0,76820045.96552962 
July,0.0,75399836.29150689,543683.4624000009,0.0,0.0,76819857.23443406 
January,0.0,110071232.87670824,256141968.43217237,8628975612.239893,0.0,9023339928.325875 
February,0.0,99419178.08218834,238874718.22506828,7217179668.397459,0.0,7580668028.692516 
March,0.0,110071232.87670824,225589657.25351907,5999279246.923978,0.0,6362638420.261257 
April,0.0,106520547.9452016,103861971.93924496,2572450937.1316487,0.0,2809478077.7143666 
May,0.0,110071232.87670824,85434903.29855968,1592886740.744247,19276995.77385528,1835024983.7186008 
June,0.0,106520547.9452016,34662879.79690691,126546742.59356815,324796309.92772,618891516.9184836 
July,0.0,110071232.87670824,38633337.545308958,253644.02778553655,609489944.7556572,785702813.6638852 
August,0.0,110071232.87670824,41808940.40742379,9002990.342219888,657469861.2282901,845749158.2367843 
September,0.0,106520547.9452016,37720067.80523873,415151204.61291787,256438505.2758179,842541342.7092711 
October,0.0,110071232.87670824,82697797.61933166,1760205163.2013379,204640.4996183634,1981014843.6234725 
November,0.0,106520547.9452016,199440735.52890183,4876919797.963898,0.0,5210048584.550804 
December,0.0,110071232.87670824,323707251.82198646,9428149796.806145,0.0,9890154939.891919 
