Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),WHOLEHOUSE_TB SCHEDULE:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 01/21  01:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-7.667490338633799,0.0,19.886968673534765,13.740297932851219,1131.3498784803147,24447504.302478747,0.0,21.642585431039778,18.289995542468249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.68549700040392,0.0,3600.0 
 01/21  02:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-7.6669834840566619,0.0,19.887500131259153,13.740452681598243,1131.3444822474608,25437135.078044498,0.0,21.58930771083095,18.290584186626803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.687441557639697,0.0,3600.0 
 01/21  03:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-7.666487249064707,0.0,19.887759374104577,13.740826579425243,1131.3392749580972,26186054.650979844,0.0,21.54749876434762,18.290879116644477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.68770338935922,0.0,3600.0 
 01/21  04:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-7.666016160146583,0.0,19.887959050330588,13.741221269448684,1131.3343687944358,26783833.152292398,0.0,21.514168439661597,18.291109066288138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.68791776088324,0.0,3600.0 
 01/21  05:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-7.665573496356493,0.0,19.88808592315631,13.741643231746608,1131.3297974806934,27268945.236572826,0.0,21.48721485643857,18.291259644300888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.688060610645319,0.0,3600.0 
 01/21  06:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-7.665166821684773,0.0,19.888026846725347,13.742181255014938,1131.3256392884778,27672400.340955788,0.0,21.46649254033092,18.291208708612158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.688047863467378,0.0,3600.0 
 01/21  07:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-7.664797077876705,0.0,19.888221871046217,13.742458337599214,1131.3218770014719,28016475.34221765,0.0,21.44536660623291,18.29143047029926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.68817299717499,0.0,3600.0 
 01/21  08:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-7.664446677970212,0.0,19.888336164720309,13.742780362367638,1131.3183347854006,28315911.34382512,0.0,21.42761157885582,18.291564601765275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.688311051545678,0.0,3600.0 
 01/21  09:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-7.664120090540678,0.0,19.88841992555521,13.743100578587863,1131.3150554665368,28577129.528887884,0.0,21.411877739291709,18.291665099884967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.68840107494861,0.0,0.0 
 01/21  10:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-7.663817297238516,0.0,19.888484907417579,13.743408408749373,1131.3120370850093,28814455.062653047,0.0,21.397714183702644,18.29174461772113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.68847026202492,0.0,0.0 
 01/21  11:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-7.663537799816459,0.0,19.888536081390844,13.743699599834878,1131.309269422062,29029528.881860798,0.0,21.38481052474333,18.29180851241451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.68852455161216,0.0,0.0 
 01/21  12:00:00,-26.8,-26.8,100.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-7.663280378304374,0.0,19.888576577615774,13.743973756116797,1131.3067391354703,29226248.424988465,0.0,21.37294208562523,18.29186021678707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-46.68856747584809,0.0,0.0 
