Time,WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,7.737711E+03,3.691709E+02,2.529224E-01,2.967660E-02
00:30:00,7.303229E+03,2.474903E+02,2.387206E-01,1.989498E-02
00:45:00,6.876592E+03,1.323890E+02,2.247752E-01,1.064230E-02
01:00:00,6.456617E+03,3.719552E+01,2.110476E-01,2.989947E-03
01:15:00,6.523378E+03,8.094954E+00,2.132300E-01,6.507046E-04
01:30:00,6.588867E+03,0.000000E+00,2.153704E-01,0.000000E+00
01:45:00,6.654071E+03,0.000000E+00,2.175016E-01,0.000000E+00
02:00:00,6.719111E+03,0.000000E+00,2.196275E-01,0.000000E+00
02:15:00,6.772501E+03,0.000000E+00,2.213725E-01,0.000000E+00
02:30:00,6.824088E+03,0.000000E+00,2.230587E-01,0.000000E+00
02:45:00,6.874380E+03,0.000000E+00,2.247026E-01,0.000000E+00
03:00:00,6.923402E+03,0.000000E+00,2.263050E-01,0.000000E+00
03:15:00,6.966234E+03,0.000000E+00,2.277051E-01,0.000000E+00
03:30:00,7.007501E+03,0.000000E+00,2.290540E-01,0.000000E+00
03:45:00,7.047353E+03,0.000000E+00,2.303566E-01,0.000000E+00
04:00:00,7.086169E+03,0.000000E+00,2.316254E-01,0.000000E+00
04:15:00,7.121027E+03,0.000000E+00,2.327648E-01,0.000000E+00
04:30:00,7.154472E+03,0.000000E+00,2.338581E-01,0.000000E+00
04:45:00,7.186940E+03,0.000000E+00,2.349194E-01,0.000000E+00
05:00:00,7.218578E+03,0.000000E+00,2.359535E-01,0.000000E+00
05:15:00,7.247394E+03,0.000000E+00,2.368954E-01,0.000000E+00
05:30:00,7.275270E+03,0.000000E+00,2.378066E-01,0.000000E+00
05:45:00,7.302375E+03,0.000000E+00,2.386926E-01,0.000000E+00
06:00:00,7.328806E+03,0.000000E+00,2.395566E-01,0.000000E+00
06:15:00,7.353159E+03,0.000000E+00,2.403526E-01,0.000000E+00
06:30:00,7.376813E+03,0.000000E+00,2.411258E-01,0.000000E+00
06:45:00,7.399912E+03,0.000000E+00,2.418808E-01,0.000000E+00
07:00:00,7.422506E+03,4.157346E+01,2.426194E-01,3.361312E-03
07:15:00,7.443678E+03,1.424866E+02,2.433114E-01,1.147382E-02
07:30:00,7.464305E+03,2.861747E+02,2.439857E-01,2.302572E-02
07:45:00,7.484481E+03,4.792201E+02,2.446451E-01,3.854675E-02
08:00:00,7.504263E+03,6.706224E+02,2.452918E-01,5.391813E-02
08:15:00,7.522925E+03,8.490623E+02,2.459018E-01,6.826832E-02
08:30:00,7.541162E+03,1.020668E+03,2.464979E-01,8.207017E-02
08:45:00,7.559047E+03,1.174476E+03,2.470825E-01,9.444131E-02
09:00:00,7.576624E+03,1.326478E+03,2.476571E-01,1.066668E-01
09:15:00,7.593300E+03,1.474813E+03,2.482021E-01,1.185954E-01
09:30:00,7.609639E+03,1.628439E+03,2.487362E-01,1.309472E-01
09:45:00,7.625699E+03,1.790965E+03,2.492612E-01,1.440128E-01
10:00:00,7.641517E+03,1.954208E+03,2.497782E-01,1.571341E-01
10:15:00,7.656593E+03,2.111674E+03,2.502710E-01,1.697904E-01
10:30:00,7.671397E+03,2.260628E+03,2.507549E-01,1.817617E-01
10:45:00,7.685978E+03,2.397934E+03,2.512315E-01,1.927963E-01
11:00:00,7.700365E+03,2.523124E+03,2.517018E-01,2.028566E-01
11:15:00,7.714128E+03,2.632447E+03,2.521517E-01,2.116414E-01
11:30:00,7.727669E+03,2.727362E+03,2.525943E-01,2.192680E-01
11:45:00,7.741027E+03,2.812304E+03,2.530309E-01,2.260931E-01
12:00:00,7.754226E+03,2.885263E+03,2.534623E-01,2.319555E-01
12:15:00,7.766892E+03,2.951212E+03,2.538764E-01,2.372548E-01
12:30:00,7.779373E+03,3.012914E+03,2.542843E-01,2.422133E-01
12:45:00,7.791702E+03,3.068305E+03,2.546873E-01,2.466649E-01
13:00:00,7.803898E+03,3.121665E+03,2.550860E-01,2.509534E-01
13:15:00,7.815633E+03,3.178739E+03,2.554696E-01,2.555408E-01
13:30:00,7.827210E+03,3.237440E+03,2.558480E-01,2.602593E-01
13:45:00,7.838658E+03,3.302623E+03,2.562222E-01,2.654990E-01
14:00:00,7.849994E+03,3.377101E+03,2.565927E-01,2.714860E-01
14:15:00,7.860924E+03,3.457156E+03,2.569500E-01,2.779215E-01
14:30:00,7.871719E+03,3.543378E+03,2.573029E-01,2.848528E-01
14:45:00,7.882402E+03,3.631827E+03,2.576521E-01,2.919631E-01
15:00:00,7.892990E+03,3.718521E+03,2.579981E-01,2.989323E-01
15:15:00,7.903217E+03,3.801830E+03,2.583324E-01,3.056294E-01
15:30:00,7.913325E+03,3.879006E+03,2.586628E-01,3.118334E-01
15:45:00,7.923336E+03,3.947500E+03,2.589901E-01,3.173394E-01
16:00:00,7.933264E+03,4.004895E+03,2.593146E-01,3.219531E-01
16:15:00,7.942869E+03,4.050492E+03,2.596285E-01,3.256184E-01
16:30:00,7.952368E+03,4.082328E+03,2.599390E-01,3.281774E-01
16:45:00,7.961783E+03,4.099209E+03,2.602468E-01,3.295342E-01
17:00:00,7.971122E+03,4.102491E+03,2.605521E-01,3.297978E-01
17:15:00,7.980171E+03,4.094960E+03,2.608478E-01,3.291921E-01
17:30:00,7.989126E+03,4.084042E+03,2.611405E-01,3.283143E-01
17:45:00,7.998004E+03,4.075741E+03,2.614307E-01,3.276467E-01
18:00:00,8.006670E+03,4.065631E+03,2.617140E-01,3.268340E-01
18:15:00,8.015090E+03,4.039617E+03,2.619892E-01,3.247427E-01
18:30:00,8.023460E+03,3.993945E+03,2.622628E-01,3.210711E-01
18:45:00,8.031775E+03,3.927958E+03,2.625346E-01,3.157663E-01
19:00:00,8.040048E+03,3.846332E+03,2.628050E-01,3.092043E-01
19:15:00,8.048086E+03,3.750675E+03,2.630678E-01,3.015143E-01
19:30:00,8.056053E+03,3.634644E+03,2.633282E-01,2.921864E-01
19:45:00,8.063964E+03,3.477706E+03,2.635868E-01,2.795702E-01
20:00:00,8.071834E+03,3.266187E+03,2.638440E-01,2.625660E-01
20:15:00,8.079481E+03,3.000563E+03,2.640940E-01,2.412123E-01
20:30:00,8.087061E+03,2.707778E+03,2.643417E-01,2.176750E-01
20:45:00,8.094440E+03,2.412597E+03,2.645829E-01,1.939452E-01
21:00:00,8.101785E+03,2.135729E+03,2.648230E-01,1.716878E-01
21:15:00,8.108956E+03,1.891990E+03,2.650574E-01,1.520936E-01
21:30:00,8.116080E+03,1.670552E+03,2.652903E-01,1.342925E-01
21:45:00,8.123170E+03,1.472007E+03,2.655220E-01,1.183317E-01
22:00:00,8.130231E+03,1.296274E+03,2.657528E-01,1.042047E-01
22:15:00,8.137083E+03,1.142973E+03,2.659768E-01,9.188107E-02
22:30:00,8.143882E+03,1.010219E+03,2.661990E-01,8.120920E-02
22:45:00,8.150646E+03,8.973973E+02,2.664201E-01,7.213972E-02
23:00:00,8.157378E+03,8.001834E+02,2.666401E-01,6.432493E-02
23:15:00,8.163945E+03,7.135945E+02,2.668548E-01,5.736425E-02
23:30:00,8.170308E+03,6.345429E+02,2.670628E-01,5.100945E-02
