Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Heating:Electricity [J](Monthly),Cooling:Electricity [J](Monthly),ElectricityNet:Facility [J](Monthly),NaturalGas:Facility [J](Monthly) 
January,0.0,31956164.38356158,12214387.114574505,0.0,0.0,45098566.72667506,1332660319.9643298 
January,0.0,31956164.38356158,10954183.700131579,0.0,0.0,43838363.310997318,1174709841.0459617 
July,0.0,103805315.74356179,5764784.338225737,0.0,59461165.09584218,169915803.5501402,4938864.648358913 
July,0.0,103805315.74356179,5008859.618133003,0.0,47960939.237378548,157660131.97705458,5350471.525443935 
January,0.0,31956164.38356158,12216585.96527624,0.0,0.0,45100765.57737592,1332935917.9472295 
January,0.0,31956164.38356158,10954182.053584099,0.0,0.0,43838361.66444985,1174709634.672167 
July,0.0,103805315.74356179,5764784.335204959,0.0,59461165.053212668,169915803.50448988,4938864.648359171 
July,0.0,103805315.74356179,5008859.618112077,0.0,47960939.237085457,157660131.9767406,5350471.5254439399 
January,392525124.40407267,5315700039.692044,200853392.45899279,0.0,0.0,5990689763.467467,18880636036.96977 
February,354538822.04238906,4801277455.205701,132068869.774944,0.0,0.0,5361463611.010778,10868084036.082152 
March,392525124.40407267,5315700039.692044,116022801.41401333,0.0,0.0,5905514248.71711,8247798712.516778 
April,379863023.6168448,5144225844.863263,75557107.02806996,0.0,52495185.318716477,5730625781.5251259,2865285266.507582 
May,392525124.40407267,5315700039.692044,89230448.26410619,0.0,323601515.2270908,6201980238.612461,1858611909.067745 
June,379863023.6168448,5144225844.863263,133266119.48817806,0.0,1161234091.0686146,6896794115.6919369,89871207.1384319 
July,392525124.40407267,5315700039.692044,197822252.9753172,0.0,2088880925.936839,8075750997.466656,43189840.07163056 
August,392525124.40407267,5315700039.692044,174651257.70625104,0.0,1733650126.6277588,7697490681.8122229,49325544.15538838 
September,379863023.6168448,5144225844.863263,112974942.49727278,0.0,859696667.2690312,6575311495.316459,371703847.9589074 
October,392525124.40407267,5315700039.692044,69259502.30195081,0.0,80063281.27903758,5938951957.103529,1609244098.7768508 
November,379863023.6168448,5144225844.863263,100387696.3082021,0.0,0.0,5703484067.901057,6491175253.961826 
December,392525124.40407267,5315700039.692044,160896882.85024408,0.0,0.0,5950916705.33336,13872194376.33252 
