Time,WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.156368E+04,3.531036E+02,3.778659E-01,2.838403E-02
00:30:00,1.113238E+04,2.329131E+02,3.637735E-01,1.872254E-02
00:45:00,1.070890E+04,1.256061E+02,3.499365E-01,1.009673E-02
01:00:00,1.029196E+04,3.811197E+01,3.363128E-01,3.063574E-03
01:15:00,1.035782E+04,8.413239E+00,3.384666E-01,6.762835E-04
01:30:00,1.042266E+04,0.000000E+00,3.405847E-01,0.000000E+00
01:45:00,1.048713E+04,0.000000E+00,3.426905E-01,0.000000E+00
02:00:00,1.055148E+04,0.000000E+00,3.447927E-01,0.000000E+00
02:15:00,1.060431E+04,0.000000E+00,3.465186E-01,0.000000E+00
02:30:00,1.065537E+04,0.000000E+00,3.481871E-01,0.000000E+00
02:45:00,1.070518E+04,0.000000E+00,3.498149E-01,0.000000E+00
03:00:00,1.075392E+04,0.000000E+00,3.514074E-01,0.000000E+00
03:15:00,1.079651E+04,0.000000E+00,3.527994E-01,0.000000E+00
03:30:00,1.083753E+04,0.000000E+00,3.541399E-01,0.000000E+00
03:45:00,1.087716E+04,0.000000E+00,3.554346E-01,0.000000E+00
04:00:00,1.091558E+04,0.000000E+00,3.566902E-01,0.000000E+00
04:15:00,1.095011E+04,0.000000E+00,3.578185E-01,0.000000E+00
04:30:00,1.098328E+04,0.000000E+00,3.589023E-01,0.000000E+00
04:45:00,1.101549E+04,0.000000E+00,3.599548E-01,0.000000E+00
05:00:00,1.104688E+04,0.000000E+00,3.609808E-01,0.000000E+00
05:15:00,1.107549E+04,0.000000E+00,3.619155E-01,0.000000E+00
05:30:00,1.110317E+04,0.000000E+00,3.628201E-01,0.000000E+00
05:45:00,1.113010E+04,0.000000E+00,3.636998E-01,0.000000E+00
06:00:00,1.115636E+04,0.000000E+00,3.645578E-01,0.000000E+00
06:15:00,1.118054E+04,0.000000E+00,3.653481E-01,0.000000E+00
06:30:00,1.120403E+04,0.000000E+00,3.661157E-01,0.000000E+00
06:45:00,1.122697E+04,0.000000E+00,3.668654E-01,0.000000E+00
07:00:00,1.124942E+04,1.821887E+01,3.675988E-01,1.478943E-03
07:15:00,1.127045E+04,1.187958E+02,3.682862E-01,9.563855E-03
07:30:00,1.129095E+04,2.617730E+02,3.689560E-01,2.105709E-02
07:45:00,1.131100E+04,4.615578E+02,3.696111E-01,3.711697E-02
08:00:00,1.133065E+04,6.875868E+02,3.702534E-01,5.527240E-02
08:15:00,1.134920E+04,8.810984E+02,3.708595E-01,7.082864E-02
08:30:00,1.136733E+04,1.071640E+03,3.714517E-01,8.614658E-02
