,index,DateTime,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),WHOLEHOUSE_TB SCHEDULE:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) ,Date2,Time,Date
4800,4992,1900-07-20 00:00:00,18.95,11.1,60.75,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,11.599691145607068,6.111598978208237,21.706089074802374,52.93379128758818,810.5603359484012,210198.68307945205,0.0,21.17380879984994,21.31331314883023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.5,-4.7082518310109975,0.0,3600.0,07/20,00:00:00,07/20
4801,4993,1900-07-20 01:00:00,20.375,10.7875,54.5,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,11.04100358390157,7.394487386171865,21.67469823179596,50.8692371083187,516.0000903557205,210198.68307945205,0.0,20.605445508718997,21.22535971408623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.5,-1.6365630323655598,0.0,3600.0,07/20,01:00:00,07/20
4802,4994,1900-07-20 02:00:00,20.9125,9.85,49.25,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,10.1511636175612,7.996870132843403,21.79593507805855,47.52210310395272,511.5565443940397,210198.68307945205,0.0,20.389028629302405,21.27169071340325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.5,-1.139541946806783,0.0,3600.0,07/20,02:00:00,07/20
4803,4995,1900-07-20 03:00:00,20.7875,9.775,49.5,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,9.8303796550816,7.917107797393063,21.62117408197212,47.06285891732051,511.67498170889894,210198.68307945205,0.0,20.169579205538056,21.067548457875453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.5,-1.01656862734308,0.0,3600.0,07/20,03:00:00,07/20
4804,4996,1900-07-20 04:00:00,19.85,10.375,54.75,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,10.427905734938888,7.371793632694367,20.96728641643735,51.06514316834672,511.6211202099738,209292.55959163187,0.0,19.73606791492787,20.452619835901046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.5,-1.3164145793566941,0.0,2700.0,07/20,04:00:00,07/20
4805,4997,1900-07-20 05:00:00,19.775,10.225,54.5,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,10.879638283704626,0.0,22.218839389968046,48.60696129459476,545.7303045803001,206520.77577619345,0.0,20.273793463441688,21.76519094524415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-2.074213806574948,0.0,0.0,07/20,05:00:00,07/20
4806,4998,1900-07-20 06:00:00,20.375,10.0,51.75,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,11.511645520597066,0.0,23.243851023562264,47.61493855731129,658.0800787720889,206401.4076408181,0.0,21.119656223563663,22.867070632692737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-2.896500851250095,0.0,0.0,07/20,06:00:00,07/20
4807,4999,1900-07-20 07:00:00,21.6,10.375,49.125,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,12.135952452298293,0.0,23.65940259482585,48.39024842655633,765.192117805726,206197.157868477,0.0,21.59541590102364,23.34442156322408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-2.343432048472351,0.0,0.0,07/20,07:00:00,07/20
4808,5000,1900-07-20 08:00:00,23.2625,10.225,43.625,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,12.701939694610212,0.0,24.367956378810163,48.13235640635597,855.3849854764665,205513.35665464707,0.0,22.327303393342383,24.117096878412696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-1.3251576408617636,0.0,0.0,07/20,08:00:00,07/20
4809,5001,1900-07-20 09:00:00,25.275,10.0,37.875,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,13.15837863730084,0.0,25.184534288432612,47.23228258015671,931.9660283313332,204914.10749113577,0.0,23.13822274328177,24.991830651313304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-0.2545436767965503,0.0,0.0,07/20,09:00:00,07/20
