Time,WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],WHOLEHOUSE:GREAT FALLS INTL ARPT ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,7.504537E+03,5.080146E+02,2.453006E-01,4.083808E-02
00:30:00,7.074254E+03,3.968954E+02,2.312360E-01,3.190529E-02
00:45:00,6.651674E+03,2.856433E+02,2.174233E-01,2.296189E-02
01:00:00,6.235641E+03,1.730268E+02,2.038245E-01,1.390888E-02
01:15:00,6.301471E+03,1.015969E+02,2.059765E-01,8.166892E-03
01:30:00,6.366089E+03,4.902715E+01,2.080885E-01,3.941036E-03
01:45:00,6.430452E+03,1.524720E+01,2.101921E-01,1.225634E-03
02:00:00,6.494676E+03,0.000000E+00,2.122913E-01,0.000000E+00
02:15:00,6.547397E+03,0.000000E+00,2.140145E-01,0.000000E+00
02:30:00,6.598366E+03,0.000000E+00,2.156805E-01,0.000000E+00
02:45:00,6.648077E+03,0.000000E+00,2.173054E-01,0.000000E+00
03:00:00,6.696713E+03,0.000000E+00,2.188952E-01,0.000000E+00
03:15:00,6.739221E+03,0.000000E+00,2.202846E-01,0.000000E+00
03:30:00,6.780157E+03,0.000000E+00,2.216227E-01,0.000000E+00
03:45:00,6.819691E+03,0.000000E+00,2.229150E-01,0.000000E+00
04:00:00,6.858034E+03,0.000000E+00,2.241683E-01,0.000000E+00
04:15:00,6.892485E+03,0.000000E+00,2.252944E-01,0.000000E+00
04:30:00,6.925577E+03,0.000000E+00,2.263761E-01,0.000000E+00
04:45:00,6.957715E+03,0.000000E+00,2.274266E-01,0.000000E+00
05:00:00,6.989041E+03,0.000000E+00,2.284506E-01,0.000000E+00
05:15:00,7.017582E+03,0.000000E+00,2.293835E-01,0.000000E+00
05:30:00,7.045200E+03,0.000000E+00,2.302863E-01,0.000000E+00
05:45:00,7.072061E+03,0.000000E+00,2.311643E-01,0.000000E+00
06:00:00,7.098257E+03,0.000000E+00,2.320206E-01,0.000000E+00
06:15:00,7.122383E+03,0.000000E+00,2.328092E-01,0.000000E+00
06:30:00,7.145819E+03,2.632568E+01,2.335752E-01,2.133269E-03
06:45:00,7.168708E+03,1.135694E+02,2.343234E-01,9.146660E-03
07:00:00,7.191099E+03,2.347606E+02,2.350553E-01,1.888962E-02
07:15:00,7.212084E+03,4.192212E+02,2.357413E-01,3.371984E-02
07:30:00,7.232532E+03,6.228832E+02,2.364096E-01,5.007857E-02
07:45:00,7.252533E+03,8.043793E+02,2.370634E-01,6.467415E-02
08:00:00,7.272145E+03,9.838657E+02,2.377045E-01,7.910898E-02
08:15:00,7.290649E+03,1.138035E+03,2.383093E-01,9.150887E-02
08:30:00,7.308732E+03,1.284667E+03,2.389004E-01,1.033019E-01
08:45:00,7.326466E+03,1.431265E+03,2.394801E-01,1.150905E-01
09:00:00,7.343895E+03,1.587350E+03,2.400498E-01,1.276403E-01
09:15:00,7.360431E+03,1.749503E+03,2.405903E-01,1.406763E-01
09:30:00,7.376634E+03,1.915126E+03,2.411199E-01,1.539899E-01
09:45:00,7.392560E+03,2.081877E+03,2.416405E-01,1.673935E-01
10:00:00,7.408246E+03,2.244349E+03,2.421532E-01,1.804523E-01
10:15:00,7.423197E+03,2.397419E+03,2.426419E-01,1.927548E-01
10:30:00,7.437878E+03,2.541353E+03,2.431218E-01,2.043226E-01
10:45:00,7.452338E+03,2.674942E+03,2.435945E-01,2.150584E-01
11:00:00,7.466605E+03,2.797720E+03,2.440608E-01,2.249253E-01
11:15:00,7.480254E+03,2.906320E+03,2.445070E-01,2.336523E-01
11:30:00,7.493682E+03,3.000235E+03,2.449459E-01,2.411993E-01
11:45:00,7.506929E+03,3.082825E+03,2.453789E-01,2.478363E-01
12:00:00,7.520018E+03,3.153127E+03,2.458067E-01,2.534858E-01
12:15:00,7.532580E+03,3.216288E+03,2.462173E-01,2.585617E-01
12:30:00,7.544957E+03,3.275186E+03,2.466219E-01,2.632953E-01
12:45:00,7.557183E+03,3.327782E+03,2.470216E-01,2.675225E-01
13:00:00,7.569278E+03,3.378433E+03,2.474169E-01,2.715937E-01
13:15:00,7.580915E+03,3.432992E+03,2.477973E-01,2.759791E-01
13:30:00,7.592396E+03,3.489395E+03,2.481726E-01,2.805130E-01
13:45:00,7.603749E+03,3.552557E+03,2.485437E-01,2.855903E-01
14:00:00,7.614991E+03,3.625334E+03,2.489111E-01,2.914407E-01
14:15:00,7.625831E+03,3.703977E+03,2.492655E-01,2.977627E-01
14:30:00,7.636536E+03,3.789063E+03,2.496154E-01,3.046027E-01
14:45:00,7.647131E+03,3.876465E+03,2.499617E-01,3.116289E-01
15:00:00,7.657630E+03,3.962249E+03,2.503049E-01,3.185250E-01
15:15:00,7.667773E+03,4.044731E+03,2.506364E-01,3.251556E-01
15:30:00,7.677798E+03,4.121109E+03,2.509641E-01,3.312954E-01
15:45:00,7.687727E+03,4.188903E+03,2.512887E-01,3.367453E-01
16:00:00,7.697572E+03,4.245531E+03,2.516105E-01,3.412973E-01
16:15:00,7.707099E+03,4.290240E+03,2.519219E-01,3.448912E-01
16:30:00,7.716521E+03,4.321085E+03,2.522298E-01,3.473706E-01
16:45:00,7.725857E+03,4.336860E+03,2.525350E-01,3.486385E-01
17:00:00,7.735121E+03,4.338936E+03,2.528378E-01,3.488051E-01
17:15:00,7.744096E+03,4.330200E+03,2.531312E-01,3.481026E-01
17:30:00,7.752978E+03,4.318129E+03,2.534215E-01,3.471320E-01
17:45:00,7.761784E+03,4.308768E+03,2.537094E-01,3.463794E-01
18:00:00,7.770379E+03,4.297643E+03,2.539903E-01,3.454851E-01
18:15:00,7.778732E+03,4.270624E+03,2.542633E-01,3.433130E-01
18:30:00,7.787035E+03,4.223786E+03,2.545347E-01,3.395476E-01
18:45:00,7.795283E+03,4.156518E+03,2.548043E-01,3.341399E-01
19:00:00,7.803489E+03,4.073558E+03,2.550726E-01,3.274706E-01
19:15:00,7.811464E+03,3.976502E+03,2.553332E-01,3.196682E-01
19:30:00,7.819369E+03,3.858868E+03,2.555916E-01,3.102115E-01
19:45:00,7.827218E+03,3.699798E+03,2.558482E-01,2.974238E-01
20:00:00,7.835025E+03,3.485211E+03,2.561034E-01,2.801731E-01
20:15:00,7.842615E+03,3.215531E+03,2.563515E-01,2.584933E-01
20:30:00,7.850138E+03,2.918011E+03,2.565974E-01,2.345754E-01
20:45:00,7.857461E+03,2.617666E+03,2.568367E-01,2.104305E-01
21:00:00,7.864750E+03,2.335537E+03,2.570750E-01,1.877501E-01
21:15:00,7.871871E+03,2.086535E+03,2.573078E-01,1.677329E-01
21:30:00,7.878946E+03,1.859609E+03,2.575390E-01,1.494906E-01
21:45:00,7.885987E+03,1.655269E+03,2.577692E-01,1.330639E-01
22:00:00,7.892999E+03,1.473344E+03,2.579984E-01,1.184392E-01
22:15:00,7.899822E+03,1.313153E+03,2.582214E-01,1.055617E-01
22:30:00,7.906593E+03,1.172428E+03,2.584427E-01,9.424906E-02
22:45:00,7.913328E+03,1.049267E+03,2.586628E-01,8.434835E-02
23:00:00,7.920032E+03,9.425364E+02,2.588820E-01,7.576848E-02
23:15:00,7.926536E+03,8.511841E+02,2.590946E-01,6.842488E-02
23:30:00,7.932838E+03,7.688862E+02,2.593006E-01,6.180917E-02
23:45:00,7.939111E+03,6.924650E+02,2.595056E-01,5.566582E-02
24:00:00,7.945388E+03,6.195560E+02,2.597108E-01,4.980478E-02
Peak,7.945388E+03,4.338936E+03,2.597108E-01,3.488051E-01

Peak Vol Flow (m3/s),,,2.466062E-01,3.312049E-01
