,index,DateTime,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),ZONE1 PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),ZONE1 FRIDGE:Electric Equipment Electricity Energy [J](Hourly),ZONE1 RANGE:Electric Equipment Electricity Energy [J](Hourly),ZONE1 CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),ZONE1 CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),ZONE1 DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),ZONE1 SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),ZONE1 SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),ZONE1:Zone Mean Radiant Temperature [C](Hourly),ZONE1:Zone Operative Temperature [C](Hourly),ZONE1:Zone Mean Air Dewpoint Temperature [C](Hourly),ZONE1:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE1:Zone Air Temperature [C](Hourly),ZONE1:Zone Air Relative Humidity [%](Hourly),ZONE1:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),ZONE1 OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),ZONE1:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),EXHAUSTFANSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),DCINTERLOCK:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),ZONE1_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),ZONE1_TB SCHEDULE:Schedule Value [](Hourly),ZONE1_VANOS:Schedule Value [](Hourly),ZONE1_VANOSLIMIT:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),ZONE1_PTHP:Zone Packaged Terminal Heat Pump Total Cooling Rate [W](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly),ZONE1_ERV_SUPPLY:System Node Enthalpy [J/kg](Hourly),ZONE1_MECH_AIR_OUTLET:System Node Enthalpy [J/kg](Hourly),ZONE1_RETURN:System Node Enthalpy [J/kg](Hourly),ZONE1_ERV_EXHAUST:System Node Enthalpy [J/kg](Hourly),ZONE1_MECH_AIR_INLET:System Node Enthalpy [J/kg](Hourly),ZONE1_ZONE_AIR_NODE:System Node Enthalpy [J/kg](Hourly),ZONE1_OA_1:System Node Enthalpy [J/kg](Hourly),ZONE1_OA_2:System Node Enthalpy [J/kg](Hourly),ZONE1_PTHP_FAN_OUTLET:System Node Enthalpy [J/kg](Hourly),ZONE1_PTHP_DX_COOL_COIL_OUTLET:System Node Enthalpy [J/kg](Hourly),ZONE1_PTHP_DX_HEAT_COIL_OUTLET:System Node Enthalpy [J/kg](Hourly) ,Date2,Time,Date
5328,5520,1900-08-11 00:00:00,28.0,13.0,40.0,54684.27532535323,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,25.94962089019217,25.662041102628518,11.216830207943076,0.0,25.374461315064863,41.10078056044276,902.1470013301176,1038409.9069242934,0.0,23.62706569610644,25.040643337512105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,0.75,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,2.766893007561268,0.0,200127296.21507308,0.0,885.1460813606224,3600.0,29442.989459818964,40810.93195796368,48482.22725290389,48482.22725290389,48482.22725290389,48777.92618942149,48482.22725290389,54673.970120391015,48572.32965160592,40810.93195796368,40810.93195796368,08/11,00:00:00,08/11
5329,5521,1900-08-11 01:00:00,26.75,13.0,43.125,53442.93147486872,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,26.04687882512692,26.13031058205854,12.1638260199985,0.0,26.213742338990166,41.63473673805071,931.7902408553784,187545.20547945204,0.0,24.06919022161273,25.97780136549384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,1.1034130795907329,0.0,181292060.30056527,0.0,0.0,3600.0,29442.989459818964,50636.977040352685,50636.977040352685,50636.977040352685,50636.977040352685,51169.03630725596,50636.977040352685,53432.62598489659,50636.977040352685,50636.977040352685,50636.977040352685,08/11,01:00:00,08/11
5330,5522,1900-08-11 02:00:00,26.0,13.0,45.0,52645.31782195216,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,26.09232220828176,26.180875623358425,13.29306046858509,0.0,26.269429038435092,44.68557949979233,952.7106533106652,187545.20547945204,0.0,24.19232085813189,26.11871762921764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-0.2650885754630492,0.0,178527059.5467491,0.0,0.0,3600.0,29442.989459818964,52717.47335783699,52717.47335783699,52717.47335783699,52717.47335783699,53163.19943936027,52717.47335783699,52635.012548127765,52717.47335783699,52717.47335783699,52717.47335783699,08/11,02:00:00,08/11
5331,5523,1900-08-11 03:00:00,26.0,13.0,45.0,52645.31782195216,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,26.11448308981364,26.20647492314043,14.150322682719661,0.0,26.298466756467224,47.16578913976991,993.6598530240784,187545.20547945204,0.0,24.28114548959399,26.21542014854128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-0.2942145354449081,0.0,177827446.14119467,0.0,0.0,3600.0,29442.989459818964,54378.00243947024,54378.00243947024,54378.00243947024,54378.00243947024,54754.184217654,54378.00243947024,52635.012548127765,54378.00243947024,54378.00243947024,54378.00243947024,08/11,03:00:00,08/11
5332,5524,1900-08-11 04:00:00,25.375,13.0,46.25,51761.98852283408,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,26.111918687698928,26.197799143754906,14.865634827078184,0.0,26.28367959981088,49.44034957232847,1055.5081812572716,187545.20547945204,0.0,24.33365204696417,26.25854557640277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-0.6682867516316868,0.0,177849685.06093964,0.0,0.0,3600.0,29442.989459818964,55810.97979788305,55810.97979788305,55810.97979788305,55810.97979788305,56124.58094172429,55810.97979788305,51751.68503455143,55810.97979788305,55810.97979788305,55810.97979788305,08/11,04:00:00,08/11
5333,5525,1900-08-11 05:00:00,25.0,13.0,47.0,51206.96296149249,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,26.10736786889789,26.18343150657821,15.429860204010296,0.0,26.259495144258523,51.3394846653255,1102.0329775304576,186628.9980916818,0.0,24.369955876346538,26.28153120272343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-1.258079629656014,0.0,178694929.52799132,0.0,0.0,2700.0,29442.989459818964,56953.31078441767,56953.31078441767,56953.31078441767,56953.31078441767,57210.01728446642,56953.31078441767,51196.66072881801,56953.31078441767,56953.31078441767,56953.31078441767,08/11,05:00:00,08/11
5334,5526,1900-08-11 06:00:00,25.0,13.625,48.875,52235.45586588046,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,26.163732167654693,26.23692270137044,15.903904432118397,0.0,26.31011323508618,52.76394850799183,1132.9471269374221,189727.81230709376,0.0,24.468170239347693,26.374405436303476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-1.2936462538146725,0.0,177840576.51790935,0.0,0.0,0.0,29442.989459818964,57955.54306252126,57955.54306252126,57955.54306252126,57955.54306252126,58196.065799150034,58008.90351068495,52225.14608135308,57955.54306252126,57955.54306252126,57955.54306252126,08/11,06:00:00,08/11
5335,5527,1900-08-11 07:00:00,26.875,15.25,48.75,57329.66063954244,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,26.31678513604327,26.408342250007053,16.38891181037289,0.0,26.499899363970837,53.81643875938976,1137.1883311416584,183285.84448494425,0.0,24.692426568981304,26.61065186797421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-0.3048889761706999,0.0,174494283.48789117,0.0,0.0,0.0,29442.989459818964,59036.94271343197,59036.94271343197,59036.94271343197,59036.94271343197,59397.58023716674,59036.94271343197,57319.32759366675,59036.94271343197,59036.94271343197,59036.94271343197,08/11,07:00:00,08/11
5336,5528,1900-08-11 08:00:00,30.5,14.125,37.375,59140.73001212535,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,26.53598207060185,26.66502640153456,16.939819596602568,0.0,26.794070732467265,54.77718035938452,1133.520934953685,182773.7762420111,0.0,25.01288364707117,27.503095381744224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,2.7819582898219397,0.0,167124836.24524248,0.0,0.0,0.0,29442.989459818964,60527.75274807729,60527.75274807729,60527.75274807729,60527.75274807729,60845.45250781695,60527.75274807729,59130.41092985806,60527.75274807729,60527.75274807729,60527.75274807729,08/11,08:00:00,08/11
5337,5529,1900-08-11 09:00:00,32.0,13.0,31.0,58020.26210683619,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,26.857631554299264,26.987440494985808,17.282914887320416,0.0,27.11724943567235,54.92807698169777,1172.747767612042,182183.28299317288,0.0,25.39038972762939,27.860190475964295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,4.960578169482746,0.0,158378767.8918708,0.0,0.0,0.0,29442.989459818964,61640.738395656976,61640.738395656976,61640.738395656976,61640.738395656976,61911.10583605946,61640.738395656976,58009.962459023605,61640.738395656976,61640.738395656976,61640.738395656976,08/11,09:00:00,08/11
