Time,ZONE 1:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE 1:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE 1:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE 1:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,3.286258E+03,7.455944E+02,1.074236E-01,5.993995E-02
00:30:00,2.884820E+03,7.070719E+02,9.430114E-02,5.684310E-02
00:45:00,2.490306E+03,6.690790E+02,8.140495E-02,5.378878E-02
01:00:00,2.101825E+03,6.313880E+02,6.870602E-02,5.075868E-02
01:15:00,2.160601E+03,6.129018E+02,7.062734E-02,4.927241E-02
01:30:00,2.218333E+03,5.948672E+02,7.251451E-02,4.782250E-02
01:45:00,2.275938E+03,5.771019E+02,7.439755E-02,4.639424E-02
02:00:00,2.333500E+03,5.595111E+02,7.627915E-02,4.498000E-02
02:15:00,2.381224E+03,5.418169E+02,7.783919E-02,4.355745E-02
02:30:00,2.427649E+03,5.240624E+02,7.935674E-02,4.213004E-02
02:45:00,2.473115E+03,5.063813E+02,8.084296E-02,4.070854E-02
03:00:00,2.517747E+03,4.887412E+02,8.230191E-02,3.929033E-02
03:15:00,2.557095E+03,4.710701E+02,8.358815E-02,3.786965E-02
03:30:00,2.595178E+03,4.536466E+02,8.483303E-02,3.646886E-02
03:45:00,2.632237E+03,4.365368E+02,8.604443E-02,3.509332E-02
04:00:00,2.668394E+03,4.198018E+02,8.722638E-02,3.374791E-02
04:15:00,2.701110E+03,4.035917E+02,8.829581E-02,3.244471E-02
04:30:00,2.732757E+03,3.879272E+02,8.933031E-02,3.118538E-02
04:45:00,2.763385E+03,3.786595E+02,9.033151E-02,3.044029E-02
05:00:00,2.793127E+03,3.786133E+02,9.130372E-02,3.043657E-02
05:15:00,2.820471E+03,3.855364E+02,9.219758E-02,3.099318E-02
05:30:00,2.846872E+03,4.029321E+02,9.306059E-02,3.239173E-02
05:45:00,2.872597E+03,4.266267E+02,9.390152E-02,3.429677E-02
06:00:00,2.897740E+03,4.544785E+02,9.472341E-02,3.653608E-02
06:15:00,2.921088E+03,4.899578E+02,9.548662E-02,3.938866E-02
06:30:00,2.943790E+03,5.302831E+02,9.622871E-02,4.263096E-02
06:45:00,2.965944E+03,5.729502E+02,9.695292E-02,4.606163E-02
07:00:00,2.987610E+03,6.165420E+02,9.766116E-02,4.956674E-02
07:15:00,3.007760E+03,6.623952E+02,9.831983E-02,5.325375E-02
07:30:00,3.027406E+03,7.074747E+02,9.896204E-02,5.687867E-02
07:45:00,3.046644E+03,7.389569E+02,9.959090E-02,5.941046E-02
08:00:00,3.065503E+03,7.651907E+02,1.002074E-01,6.152015E-02
08:15:00,3.083273E+03,7.848697E+02,1.007882E-01,6.310269E-02
08:30:00,3.100637E+03,8.002181E+02,1.013559E-01,6.433691E-02
08:45:00,3.117656E+03,8.240838E+02,1.019122E-01,6.625581E-02
09:00:00,3.134367E+03,8.489079E+02,1.024585E-01,6.825194E-02
09:15:00,3.150175E+03,8.742198E+02,1.029752E-01,7.028724E-02
09:30:00,3.165655E+03,8.997082E+02,1.034812E-01,7.233649E-02
09:45:00,3.180854E+03,9.259746E+02,1.039781E-01,7.444808E-02
10:00:00,3.195803E+03,9.526846E+02,1.044667E-01,7.659509E-02
10:15:00,3.209956E+03,9.786740E+02,1.049294E-01,7.868413E-02
10:30:00,3.223840E+03,1.003357E+03,1.053832E-01,8.066825E-02
10:45:00,3.237496E+03,1.026488E+03,1.058296E-01,8.252772E-02
11:00:00,3.250947E+03,1.048303E+03,1.062693E-01,8.428131E-02
11:15:00,3.263838E+03,1.068831E+03,1.066907E-01,8.593142E-02
11:30:00,3.276506E+03,1.086797E+03,1.071048E-01,8.737560E-02
11:45:00,3.288986E+03,1.103648E+03,1.075128E-01,8.872999E-02
12:00:00,3.301298E+03,1.119294E+03,1.079152E-01,8.998750E-02
12:15:00,3.313134E+03,1.134140E+03,1.083022E-01,9.118073E-02
12:30:00,3.324783E+03,1.150906E+03,1.086829E-01,9.252835E-02
12:45:00,3.336273E+03,1.169549E+03,1.090585E-01,9.402692E-02
13:00:00,3.347621E+03,1.189653E+03,1.094295E-01,9.564296E-02
13:15:00,3.358552E+03,1.211832E+03,1.097868E-01,9.742591E-02
